combinacion,n_trades,pct_sample,win_rate,profit_factor,expectancy_r,avg_r,net_r,net_usd,pct_sub1,pct_sub2,pct_sub3,dist_sub_pct
ADX alto (>=25) + alineado con D1,173,6.992724333063864,0.5232558139534884,1.0373825366256428,0.018247789993010792,0.018247789993010792,3.1568676687908668,89.31974691474733,33.52601156069364,34.104046242774565,32.369942196531795,"{'sub1': 33.5, 'sub2': 34.1, 'sub3': 32.4}"
ADX alto (>=25) + en contra de D1,157,6.345998383185125,0.42038216560509556,0.6852369239510803,-0.18826241899429835,-0.18826241899429835,-29.557199782104842,-238.8548276791611,36.94267515923567,36.94267515923567,26.11464968152866,"{'sub1': 36.9, 'sub2': 36.9, 'sub3': 26.1}"
ADX bajo (<20) + Londres/NY overlap,232,9.377526273241713,0.5043103448275862,0.9615465430322037,-0.019612193153630983,-0.019612193153630983,-4.550028811642388,87.39408861264909,28.879310344827587,36.206896551724135,34.91379310344828,"{'sub1': 28.9, 'sub2': 36.2, 'sub3': 34.9}"
SHORT + tendencia en contra (scoring),143,5.780113177041229,0.4825174825174825,0.877477385363156,-0.06540918954301864,-0.06540918954301864,-9.353514104651666,-27.627597468923796,35.66433566433567,41.95804195804196,22.377622377622377,"{'sub1': 35.7, 'sub2': 42.0, 'sub3': 22.4}"
LONG + tendencia en contra (scoring),83,3.354890864995958,0.4819277108433735,0.8729727356953085,-0.0676934463417018,-0.0676934463417018,-5.618556046361249,96.76055015154994,33.734939759036145,14.457831325301203,51.80722891566265,"{'sub1': 33.7, 'sub2': 14.5, 'sub3': 51.8}"
Distancia a EMA lejos (Q4) + ADX alto,320,12.934518997574779,0.49843260188087773,0.9407940178330008,-0.030406900051336134,-0.030406900051336134,-9.730208016427563,-212.43066774710883,32.1875,30.9375,36.875,"{'sub1': 32.2, 'sub2': 30.9, 'sub3': 36.9}"
Distancia a EMA cerca (Q1) + ADX alto,332,13.419563459983832,0.46060606060606063,0.8060039972343185,-0.10724917863482324,-0.10724917863482324,-35.606727306761314,-208.41632517089056,35.54216867469879,28.614457831325304,35.8433734939759,"{'sub1': 35.5, 'sub2': 28.6, 'sub3': 35.8}"
Divergencia a favor + ADX alto,272,10.994341147938561,0.47794117647058826,0.8578813682765051,-0.07661795718654499,-0.07661795718654499,-20.840084354740238,-271.0759342255011,34.19117647058824,28.676470588235293,37.13235294117647,"{'sub1': 34.2, 'sub2': 28.7, 'sub3': 37.1}"
Asia + ADX bajo (<20),165,6.669361358124496,0.5393939393939394,1.0958751214147722,0.04565840791600387,0.04565840791600387,7.533637306140639,111.00939101690528,31.515151515151512,35.75757575757576,32.72727272727273,"{'sub1': 31.5, 'sub2': 35.8, 'sub3': 32.7}"
Londres/NY overlap + ADX alto (>=25),338,13.662085691188357,0.47619047619047616,0.8724072973844723,-0.06792979818523467,-0.06792979818523467,-22.96027178660932,-272.10679746577955,37.278106508875744,29.289940828402365,33.43195266272189,"{'sub1': 37.3, 'sub2': 29.3, 'sub3': 33.4}"
