variable,sub_periodo,n,mean,median,std,p25,p75
rsi_entry,sub1,831,50.65356239092926,50.49352044077334,7.395452298692397,44.711374607998366,56.43367159417502
rsi_entry,sub2,769,51.029421840860145,51.38059788703299,7.083413009533876,45.20961526231644,56.57868826215854
rsi_entry,sub3,874,49.72654537961608,49.6520854417287,7.241392253567747,44.14643053904877,55.19718591583072
adx_entry,sub1,830,27.72044239750854,26.31122284825947,10.936449799478837,19.427580304793672,34.30838881172843
adx_entry,sub2,769,27.916144473373354,25.78935210348073,11.612149683987603,18.77300769466392,35.42318837595534
adx_entry,sub3,874,28.23155944712591,26.495497180461747,10.96910808922469,19.761972233386423,34.99449477644802
atr_pct_entry,sub1,831,0.08985471164871434,0.0816875098700423,0.04158877071898362,0.06063045448190725,0.10897699761642556
atr_pct_entry,sub2,769,0.15665081465778535,0.1265607583302213,0.11537829374232217,0.0929630333776814,0.1733284479197696
atr_pct_entry,sub3,874,0.13109818662403347,0.12260492287656849,0.04963226734315247,0.09580016966351418,0.15350199103454662
dist_ema_atr,sub1,831,0.38278354994105923,0.299614910289758,0.3555839316261353,0.12771427366627644,0.5300892921600757
dist_ema_atr,sub2,769,0.3766504182433777,0.285719547718003,0.31986872082447154,0.1392369972285684,0.5261317344409984
dist_ema_atr,sub3,874,0.3777925900084829,0.285473560784521,0.349120284518121,0.13255203187643944,0.5255303054029491
htf_width_atr,sub1,831,7.499558651235124,5.959362231510332,4.840251444025631,4.041715732795909,10.144683001207582
htf_width_atr,sub2,769,7.434185931664029,6.279646766274297,4.521000617334843,4.202357845336371,9.659371043300144
htf_width_atr,sub3,874,7.092943964822652,5.9603461188182045,4.378306745185121,3.782086378913807,9.386364773544642
htf_pos_in_block,sub1,831,0.5227009444115044,0.5198368151575666,0.26997148241590735,0.28725843211389734,0.7690047629685943
htf_pos_in_block,sub2,769,0.567533582711484,0.5918472250346545,0.25674477814774715,0.3339348551836277,0.8071820788181997
htf_pos_in_block,sub3,874,0.4794884488975436,0.4645960990453988,0.2705760499858891,0.23287242693067167,0.7215798771763037
htf_age_bars,sub1,831,50.09506618531889,39.0,40.04707305116684,18.0,76.0
htf_age_bars,sub2,769,50.00780234070221,40.0,38.196619089620306,20.0,74.0
htf_age_bars,sub3,874,49.494279176201374,37.0,40.10119603835554,17.0,73.75
pnl_r,sub1,831,-0.09830561867444054,-1.0121947666445017,0.9980363846816338,-1.0347982598047911,0.9632598377287416
pnl_r,sub2,769,0.024906879113612727,0.9408367087728888,0.9999016436619679,-1.0174966253020905,0.9811611734830356
pnl_r,sub3,874,-0.059126919426052936,-1.0105121461280602,0.9996317868309161,-1.0287105173105666,0.9710030899253937
