scope,n_trades,block_len,n_resamples_validos,delta,point_estimate,boot_mean,ci_lo_2.5,ci_hi_97.5,excludes_zero
completo,2474,50,10000,delta_direction_short_minus_long,0.10389777024215215,0.10393881148893842,0.01965055079963743,0.18712814543141487,True
completo,2474,50,10000,delta_d1_aligned_minus_against,0.2500172398993533,0.24977868875962309,0.1064884938658286,0.3924515157272506,True
sub1,831,29,10000,delta_direction_short_minus_long,-0.01731736214789667,-0.018494324663483237,-0.1649817099364848,0.12969861922859408,False
sub1,831,29,10000,delta_d1_aligned_minus_against,0.277906330153653,0.2731647413724658,0.058016287841270886,0.48682132080243323,True
sub2,769,28,10000,delta_direction_short_minus_long,0.11930419031907595,0.11931375571158932,-0.026478397188518174,0.26111972724804183,False
sub2,769,28,10000,delta_d1_aligned_minus_against,0.31166077300342787,0.3144905178743129,0.05191721076163957,0.5760726301232917,True
sub3,874,30,10000,delta_direction_short_minus_long,0.1974740766936491,0.19755371552377665,0.07003869422469147,0.32764384810499325,True
sub3,874,30,10000,delta_d1_aligned_minus_against,0.15975032489545635,0.15708938356321814,-0.12594162366802708,0.4386219459236805,False
development,1689,41,10000,delta_direction_short_minus_long,0.04486241546395925,0.044618149126531434,-0.060564031007785964,0.14642956534915766,False
development,1689,41,10000,delta_d1_aligned_minus_against,0.2529975228172975,0.25303254368296424,0.0836114173445735,0.4176179493258026,True
holdout,785,28,10000,delta_direction_short_minus_long,0.2255326106969629,0.22514130578279032,0.09039559804432133,0.3566424933538007,True
holdout,785,28,10000,delta_d1_aligned_minus_against,0.24835708086161826,0.24481644445207926,-0.0379012101737785,0.5306990206398797,False
