window_start,window_end,n_total,expectancy_baseline,pf_baseline,net_r_baseline,n_long,expectancy_long,net_r_long,n_short,expectancy_short,net_r_short,delta_direction_short_minus_long,n_aligned,expectancy_aligned,net_r_aligned,n_against,expectancy_against,net_r_against,delta_d1_aligned_minus_against,muestra_direction_insuficiente,muestra_d1_insuficiente,n_G1_LONG_alineado,expectancy_G1_LONG_alineado,n_G2_LONG_contra,expectancy_G2_LONG_contra,n_G3_LONG_neutral,expectancy_G3_LONG_neutral,n_G4_SHORT_alineado,expectancy_G4_SHORT_alineado,n_G5_SHORT_contra,expectancy_G5_SHORT_contra,n_G6_SHORT_neutral,expectancy_G6_SHORT_neutral
2025-04-14 00:00:00+00:00,2025-07-14 00:00:00+00:00,417,-0.13757583559085404,0.7585591839701965,-57.36912344138614,195,-0.10069142755081281,-19.6348283724085,222,-0.16997430211251183,-37.73429506897762,-0.06928287456169901,51,0.06314618891387959,3.220455634607859,46,-0.16530451235681035,-7.604007568413276,0.22845070127068995,False,False,15,0.1592766477464411,24,-0.20436969168693805,156,-0.10973785569306799,36,0.02309183106697897,22,-0.12268795308758008,164,-0.21869796353330553
2025-05-14 00:00:00+00:00,2025-08-14 00:00:00+00:00,422,-0.09319446794789793,0.8295612653766707,-39.328065474012924,220,-0.11367163557682235,-25.007759826900916,202,-0.07089260221342569,-14.32030564711199,0.042779033363396654,44,0.22479602710321214,9.891025192541335,55,-0.3156321559509585,-17.359768577302717,0.5404281830541706,False,False,17,0.11882224110243597,29,-0.42659426269433903,174,-0.08423278337647415,27,0.2915202627333305,26,-0.19186672919872633,149,-0.11545515289761772
2025-06-14 00:00:00+00:00,2025-09-14 00:00:00+00:00,433,-0.06954388558557534,0.8699794316775884,-30.11250245855412,219,-0.10860755294934309,-23.785054095906137,214,-0.02956751571330829,-6.327448362647974,0.0790400372360348,56,0.1628236344940639,9.118123531667578,63,-0.31168348872405605,-19.63605978961553,0.47450712321811994,False,False,33,0.09513866679323463,27,-0.4459878999280839,159,-0.09360350189952589,23,0.2599368490213407,36,-0.21095518032103508,155,-0.03039747999084871
2025-07-14 00:00:00+00:00,2025-10-14 00:00:00+00:00,467,-0.02700404812437248,0.9473606286864823,-12.610890474081948,209,-0.044126283961933736,-9.22239334804415,258,-0.013133709790844179,-3.388497126037798,0.030992574171089558,67,0.05828423519522674,3.9050437580801916,81,-0.20089599299875086,-16.27257543289882,0.25918022819397757,False,False,52,-0.005963516152441405,17,-0.4517086217120787,140,-0.00880888527865611,15,0.2810097732004764,64,-0.1342738884967731,179,0.00553008457960078
2025-08-14 00:00:00+00:00,2025-11-14 00:00:00+00:00,468,-0.01651191822982976,0.9675082567211565,-7.727577731560327,194,0.002188797999066715,0.4246268118189427,274,-0.02975257132620172,-8.152204543379272,-0.031941369325268434,76,0.09750997769112262,7.410758304525318,95,-0.23181781553580108,-22.022692475901103,0.3293277932269237,False,False,64,0.028300193513334022,11,-0.6560828042776492,119,0.048994330033779086,12,0.4666288266393286,84,-0.1762593051053211,178,0.005921523403346963
2025-09-14 00:00:00+00:00,2025-12-14 00:00:00+00:00,449,0.05347959394223536,1.1134674589217695,24.012337680063677,183,0.045452819465555974,8.317865962196743,266,0.05900177337543958,15.694471717866929,0.013548953909883608,71,0.10108083524393847,7.176739302319632,96,-0.19382434611346055,-18.607137226892213,0.294905181357399,False,False,56,0.01146731183453761,16,-0.5218959708486395,111,0.1443786669643321,15,0.43563798930570186,80,-0.12821002116642477,171,0.11354797410289698
2025-10-14 00:00:00+00:00,2026-01-14 00:00:00+00:00,418,0.017142446052897196,1.0350078776794667,7.165542450111028,188,-0.056483320253184366,-10.61886420759866,230,0.07732350720743346,17.784406657709695,0.13380682746061784,56,0.15604826223706222,8.738702685275484,61,-0.16867643425569326,-10.289262489597288,0.3247246964927555,False,False,46,0.0205983185696954,15,-0.4877661935164382,127,-0.0334637319610872,10,0.7791180031069498,46,-0.06462542580110242,174,0.07451721961776385
2025-11-14 00:00:00+00:00,2026-02-14 00:00:00+00:00,401,0.03134828119542192,1.065030025905151,12.57066075936419,170,-0.027249522516495383,-4.632418827804215,231,0.07447220600505804,17.203079587168407,0.10172172852155342,43,0.046603197360045194,2.0039374864819433,47,-0.08057273140379047,-3.786918375978152,0.12717592876383566,False,False,40,0.02672283916420899,5,-0.22668493730481779,125,-0.03654326166278788,3,0.31167463997119466,42,-0.06317842117747768,186,0.10172875998230586
2025-12-14 00:00:00+00:00,2026-03-14 00:00:00+00:00,377,-0.00017251278948449193,0.9996543483806347,-0.06503732163565346,169,-0.06810266812321053,-11.50935091282258,208,0.055020738419167894,11.444313591186923,0.12312340654237842,44,0.11125901528942474,4.895396672734688,43,-0.13486464225017608,-5.799179616757572,0.2461236575396008,False,False,38,0.08219029522216452,7,-0.74910702742121,124,-0.07571639467190615,6,0.29536090904873963,36,-0.015428622911363907,166,0.06161191904640716
2026-01-14 00:00:00+00:00,2026-04-14 00:00:00+00:00,386,0.005636788733013591,1.0113236654036186,2.175800450943246,174,-0.04180267978518074,-7.273666282621449,212,0.04457295629039952,9.449466733564698,0.08637563607558027,51,0.036000311002188055,1.8360158611115909,55,-0.14902394871805058,-8.196317179492782,0.18502425972023864,False,False,35,0.06520245813163376,14,-0.609533373274145,125,-0.008178280731124768,16,-0.027879385843474644,41,0.008223171862079243,155,0.06166701200461316
2026-02-14 00:00:00+00:00,2026-05-14 00:00:00+00:00,404,-0.08622492953112923,0.8419708954053983,-34.83487153057621,193,-0.1949596217596565,-37.627206999613705,211,0.013233817388803287,2.7923354690374933,0.20819343914845978,48,0.057901578341832516,2.7792757604079608,41,-0.15252881130332788,-6.253681263436443,0.2104303896451604,False,False,25,0.01785597417004743,16,-0.662139916130243,152,-0.1807853137880329,23,0.10142940896333805,25,0.1736222957858979,163,-0.023810419213292824
2026-03-14 00:00:00+00:00,2026-06-14 00:00:00+00:00,468,-0.16657772932518228,0.7162253237216321,-77.9583773241853,249,-0.27404888660475146,-68.23817276458311,219,-0.04438449570594603,-9.72020455960218,0.22966439089880544,56,-0.09844363527606537,-5.5128435754596605,50,-0.27223425081133196,-13.611712540566598,0.1737906155352666,False,False,27,-0.21325989640958504,30,-0.5016210206645233,192,-0.24703919240410735,29,0.008454263020659864,20,0.07184590396845517,170,-0.06707233097982597
