cfg_id,ema_periods,periodos_htf_min,buf_bp,rr,max_concurrent_por_direccion,full_expectancy_r,full_pf,positive_subperiods,n_neighbors_found,n_neighbors_positive,frac_neighbors_positive,mean_neighbor_expectancy_r,classification
cfg_1260,14,200,0.2,0.5,1,0.0189386405146327,1.0618373426690362,2,6,4,0.6666666666666666,0.0070486472416160005,MESETA
cfg_1261,14,200,0.2,0.5,2,0.0189386405146327,1.0618373426690362,2,7,5,0.7142857142857143,0.008747217709189816,MESETA
cfg_1262,14,200,0.2,0.5,3,0.0189386405146327,1.0618373426690362,2,6,4,0.6666666666666666,0.0070486472416160005,MESETA
cfg_1278,14,200,0.7,0.5,1,0.0157007822655674,1.0507744083233914,2,7,5,0.7142857142857143,0.006664255664814699,MESETA
cfg_1279,14,200,0.7,0.5,2,0.0157007822655674,1.0507744083233914,2,8,6,0.75,0.0077938214899087865,MESETA
cfg_1280,14,200,0.7,0.5,3,0.0157007822655674,1.0507744083233914,2,7,5,0.7142857142857143,0.006664255664814699,MESETA
cfg_1764,14,800,0.2,0.5,1,0.0175303910196301,1.0568408065391757,2,6,3,0.5,0.0002592533080046164,PICO_AISLADO
cfg_1765,14,800,0.2,0.5,2,0.0175303910196301,1.0568408065391757,2,7,4,0.5714285714285714,0.0027265586953796853,PICO_AISLADO
cfg_1766,14,800,0.2,0.5,3,0.0175303910196301,1.0568408065391757,2,6,3,0.5,0.0002592533080046164,PICO_AISLADO
cfg_1890,17,200,0.2,0.5,1,0.0150278330855594,1.048451128205434,2,6,5,0.8333333333333334,0.011018530606202566,MESETA
cfg_1891,17,200,0.2,0.5,2,0.0150278330855594,1.048451128205434,2,7,6,0.8571428571428571,0.011591288103253541,MESETA
cfg_1892,17,200,0.2,0.5,3,0.0150278330855594,1.048451128205434,2,6,5,0.8333333333333334,0.011018530606202566,MESETA
cfg_1908,17,200,0.7,0.5,1,0.016216450764831,1.0523173156478012,2,7,6,0.8571428571428571,0.010502392958194716,MESETA
cfg_1909,17,200,0.7,0.5,2,0.016216450764831,1.0523173156478012,2,8,7,0.875,0.01121665018402425,MESETA
cfg_1910,17,200,0.7,0.5,3,0.016216450764831,1.0523173156478012,2,7,6,0.8571428571428571,0.010502392958194716,MESETA
cfg_1926,17,200,1.2,0.5,1,0.0173246053939801,1.0559277294628335,2,7,5,0.7142857142857143,0.006142324151633314,MESETA
cfg_1927,17,200,1.2,0.5,2,0.0173246053939801,1.0559277294628335,2,8,6,0.75,0.007540109306926662,MESETA
cfg_1928,17,200,1.2,0.5,3,0.0173246053939801,1.0559277294628335,2,7,5,0.7142857142857143,0.006142324151633314,MESETA
cfg_1944,17,200,1.7,0.5,1,0.0147471901820325,1.047189229332194,2,7,6,0.8571428571428571,0.008002635213025116,MESETA
cfg_1945,17,200,1.7,0.5,2,0.0147471901820325,1.047189229332194,2,8,7,0.875,0.00884570458415104,MESETA
cfg_1946,17,200,1.7,0.5,3,0.0147471901820325,1.047189229332194,2,7,6,0.8571428571428571,0.008002635213025116,MESETA
cfg_1962,17,200,2.2,0.5,1,0.017298043198435,1.0556403204032383,2,7,6,0.8571428571428571,0.006931682710866771,MESETA
cfg_1963,17,200,2.2,0.5,2,0.017298043198435,1.0556403204032383,2,8,7,0.875,0.0082274777718128,MESETA
cfg_1964,17,200,2.2,0.5,3,0.017298043198435,1.0556403204032383,2,7,6,0.8571428571428571,0.006931682710866771,MESETA
cfg_1980,17,200,2.7,0.5,1,0.0151834816414616,1.048555229692819,2,7,6,0.8571428571428571,0.005478565936439842,MESETA
cfg_1981,17,200,2.7,0.5,2,0.0151834816414616,1.048555229692819,2,8,7,0.875,0.0066916803995675615,MESETA
cfg_1982,17,200,2.7,0.5,3,0.0151834816414616,1.048555229692819,2,7,6,0.8571428571428571,0.005478565936439842,MESETA
cfg_1999,17,200,3.2,0.5,2,0.012527362430805,1.0397773235082577,2,7,6,0.8571428571428571,0.004584650427698471,MESETA
cfg_2394,17,800,0.2,0.5,1,0.0153423392460437,1.049325192960397,2,6,4,0.6666666666666666,0.0043425078315914335,MESETA
cfg_2395,17,800,0.2,0.5,2,0.0153423392460437,1.049325192960397,2,7,5,0.7142857142857143,0.005913912319370329,MESETA
cfg_2396,17,800,0.2,0.5,3,0.0153423392460437,1.049325192960397,2,6,4,0.6666666666666666,0.0043425078315914335,MESETA
cfg_2538,20,200,0.7,0.5,1,0.0150989060936972,1.0484783016789003,2,7,4,0.5714285714285714,-0.0002385408261288138,PICO_AISLADO
cfg_2540,20,200,0.7,0.5,3,0.0150989060936972,1.0484783016789003,2,7,4,0.5714285714285714,-0.0002385408261288138,PICO_AISLADO
