cfg_id,ema_periods,periodos_htf_min,buf_bp,rr,full_expectancy_r,full_n_trades,sub1_expectancy_r,sub1_n_trades,sub2_expectancy_r,sub2_n_trades,sub3_expectancy_r,sub3_n_trades,positive_subperiods
cfg_0000,8,200,0.2,0.5,-0.019745035742659,5355,-0.05143322261801928,1758,0.00988323851379415,1823,-0.019049698369444274,1773,1
cfg_0003,8,200,0.2,1.0,-0.0351785007683195,4746,-0.04467856194271236,1570,0.010526988847080533,1536,-0.06701204459062561,1641,1
cfg_0006,8,200,0.2,1.5,-0.0311169605860839,3986,-0.06878552168176187,1354,0.0424224922767026,1256,-0.060753591910098485,1378,1
cfg_0009,8,200,0.2,2.0,-0.0508330677122077,3235,-0.14424295798327721,1135,0.08059914358740232,987,-0.07387040384232035,1115,1
cfg_0012,8,200,0.2,2.5,-0.0406559790717409,2678,-0.10992639648716551,957,0.07302483688126014,768,-0.06048725307301203,965,1
cfg_0015,8,200,0.2,3.0,-0.1044396345207112,2240,-0.1432842105178406,819,0.011534948274880634,632,-0.1493365114102032,800,1
cfg_0018,8,200,0.7,0.5,-0.020119719343178,5283,-0.05348543974214982,1731,0.011432255106896038,1803,-0.019890235951618474,1748,1
cfg_0021,8,200,0.7,1.0,-0.037488855187398,4663,-0.056716384698806264,1539,0.012966211763587362,1519,-0.06488654581063831,1606,1
cfg_0024,8,200,0.7,1.5,-0.0309808211913076,3861,-0.07515314889909468,1296,0.047820870321049494,1228,-0.058238264804154255,1339,1
cfg_0027,8,200,0.7,2.0,-0.0434266169713496,3116,-0.1324318578039313,1079,0.08472922881381348,960,-0.07029116435747489,1079,1
cfg_0030,8,200,0.7,2.5,-0.0452255416433422,2555,-0.09777972954027986,900,0.036360328849326516,736,-0.056787119109808666,931,1
cfg_0033,8,200,0.7,3.0,-0.1019621210268993,2154,-0.11307865204074743,774,-0.010843693004788124,619,-0.1566373719658766,772,0
cfg_0036,8,200,1.2,0.5,-0.0210023190212545,5213,-0.046855782432093665,1714,0.006441774202582966,1778,-0.02388552579930359,1720,1
cfg_0039,8,200,1.2,1.0,-0.0425274043026151,4580,-0.05983241912790224,1502,0.010408056167727314,1494,-0.0741026392631989,1585,1
cfg_0042,8,200,1.2,1.5,-0.0394405013820398,3739,-0.11015645385634562,1239,0.05728601642169702,1198,-0.05878543759581623,1304,1
cfg_0045,8,200,1.2,2.0,-0.0527490749855003,2999,-0.15350780798708208,1037,0.0738701525932909,924,-0.06767980858451357,1041,1
cfg_0048,8,200,1.2,2.5,-0.058286854344164,2455,-0.09873183444372362,856,0.00450860521210938,722,-0.06788664345351561,889,1
cfg_0051,8,200,1.2,3.0,-0.0804990384263935,2060,-0.07291327985915663,731,-0.0006317446720730569,598,-0.14507012317157894,742,0
cfg_0054,8,200,1.7,0.5,-0.0212619337734302,5140,-0.047610972731130775,1694,0.0037850041166697748,1753,-0.02111471770356677,1692,1
cfg_0057,8,200,1.7,1.0,-0.040985265694973,4485,-0.06018706669212811,1466,0.0009867090964220575,1476,-0.06154249742718745,1545,1
cfg_0060,8,200,1.7,1.5,-0.0442864997629914,3631,-0.10615041332441305,1200,0.03267565023532624,1168,-0.05425378613086125,1265,1
cfg_0063,8,200,1.7,2.0,-0.0418945924496659,2880,-0.1290569767443926,994,0.07276100665356788,888,-0.06009986818478588,1001,1
cfg_0066,8,200,1.7,2.5,-0.074553161571656,2355,-0.12097819402141417,799,-0.012877479203849755,704,-0.07796198311191446,863,0
cfg_0069,8,200,1.7,3.0,-0.0925930925986687,1984,-0.11296021992097478,687,0.0005105756721540004,590,-0.15054518857544183,716,1
cfg_0072,8,200,2.2,0.5,-0.0225143634584351,5069,-0.03898003100583377,1662,-0.0007179099005004301,1735,-0.029057226366575466,1671,0
cfg_0075,8,200,2.2,1.0,-0.0401424917899999,4368,-0.046660286986273065,1405,-0.008566254633936416,1452,-0.061723328597723316,1513,0
cfg_0078,8,200,2.2,1.5,-0.0563923666993235,3495,-0.12475724995164325,1134,0.006812098546073429,1140,-0.050255893012105,1224,1
cfg_0081,8,200,2.2,2.0,-0.0418626891425804,2761,-0.13254753515871953,941,0.04494623833329571,856,-0.03359874259464263,967,1
cfg_0084,8,200,2.2,2.5,-0.0618601338991156,2270,-0.1019979430553095,762,-0.009788351142496782,692,-0.0644920333035014,827,0
