ema_periods,periodos_htf_min,buf_bp,rr,max_concurrent_por_direccion,valid_bars,orden_viva,max_bars_trade,fixed_lot,n_sig,n_fill,n_win,n_loss,n_none,n_open_timeout,n_skip_stop,n_skip_concurrency,n_trades,win_rate,expectancy_r,expectancy_usd,max_drawdown_r
8,200,0.2,0.5,1,10,True,500,0.01,7061,2502,1534,965,1197,2,3095,266,2501,0.6138455382152861,-0.22204459613870486,-0.4695922101317874,557.5055390074853
8,200,0.2,0.5,2,10,True,500,0.01,7061,2676,1644,1029,1282,2,3095,7,2675,0.6150392817059483,-0.2281316214082936,-0.39772506073429503,613.8768463337814
8,200,0.2,0.5,3,10,True,500,0.01,7061,2679,1647,1029,1286,2,3095,0,2678,0.6154708520179372,-0.22735429592133036,-0.39408820110524706,612.4795635439186
8,200,0.2,1.0,1,10,True,500,0.01,7061,2460,1148,1304,885,7,3095,620,2459,0.46818923327895595,-0.19539509840343075,-0.07648366651676095,483.6645820827146
8,200,0.2,1.0,2,10,True,500,0.01,7061,2896,1366,1522,1043,7,3095,26,2895,0.4729916897506925,-0.19457611633645908,0.005075927175746849,570.1292193018436
8,200,0.2,1.0,3,10,True,500,0.01,7061,2910,1375,1527,1053,7,3095,2,2909,0.4738111647139904,-0.19250106451074117,0.016190667129874138,567.3623923975298
8,200,0.2,1.5,1,10,True,500,0.01,7061,2417,923,1476,685,18,3095,863,2417,0.38474364318466026,-0.16407625654709218,0.28740805133257263,408.0073147337177
8,200,0.2,1.5,2,10,True,500,0.01,7061,3023,1169,1832,870,21,3095,72,3022,0.38953682105964677,-0.15963289424447938,0.38219321734965667,493.05984795801567
8,200,0.2,1.5,3,10,True,500,0.01,7061,3073,1195,1856,886,21,3095,6,3072,0.3916748607014094,-0.15310307857189967,0.392271172357566,483.56954526224547
8,200,0.2,2.0,1,10,True,500,0.01,7061,2340,735,1571,537,33,3095,1088,2339,0.31873373807458805,-0.16307513663666018,0.2328615593530905,392.1359020184032
8,200,0.2,2.0,2,10,True,500,0.01,7061,3121,1014,2069,720,36,3095,124,3119,0.3289004216672073,-0.1376885908297918,0.4720350904115206,441.99250731333865
8,200,0.2,2.0,3,10,True,500,0.01,7061,3216,1044,2134,739,36,3095,10,3214,0.328508495909377,-0.13871103457484715,0.4303678047053911,457.84816249679466
8,200,0.2,2.5,1,10,True,500,0.01,7061,2243,587,1613,439,42,3095,1283,2242,0.26681818181818184,-0.17870022822649417,0.2110773826385714,428.44458732454797
8,200,0.2,2.5,2,10,True,500,0.01,7061,3165,878,2239,631,46,3095,169,3163,0.2816811036252807,-0.131718987420014,0.621055084881952,440.972588994797
8,200,0.2,2.5,3,10,True,500,0.01,7061,3294,922,2324,657,46,3095,14,3292,0.2840418977202711,-0.1233539124380586,0.5973546976238816,429.67552270505627
8,200,0.2,3.0,1,10,True,500,0.01,7061,2173,478,1647,368,47,3095,1424,2172,0.22494117647058823,-0.20913090535528664,-0.10971110003454006,477.721353277871
8,200,0.2,3.0,2,10,True,500,0.01,7061,3191,771,2364,538,54,3095,236,3189,0.24593301435406698,-0.1295556513475034,0.5720733719051133,437.6774379124213
8,200,0.2,3.0,3,10,True,500,0.01,7061,3371,827,2488,571,54,3095,23,3369,0.24947209653092006,-0.11469965833281659,0.6364211663828377,410.78131863799416
8,200,0.7,0.5,1,10,True,500,0.01,7061,2534,1554,977,1205,2,3026,295,2533,0.6139865665744765,-0.21063023156469154,-0.48481841009346227,537.0008240232806
8,200,0.7,0.5,2,10,True,500,0.01,7061,2724,1676,1045,1298,2,3026,12,2723,0.6159500183755972,-0.21067253120545726,-0.4079081107541199,579.1263420877634
8,200,0.7,0.5,3,10,True,500,0.01,7061,2730,1682,1045,1304,2,3026,0,2729,0.6167950128346168,-0.20924408586822868,-0.4028996153704927,576.4921499496994
8,200,0.7,1.0,1,10,True,500,0.01,7061,2467,1155,1304,881,7,3026,686,2466,0.46970313135420905,-0.16737415726298674,-0.10950102041918637,416.496197197256
8,200,0.7,1.0,2,10,True,500,0.01,7061,2941,1391,1542,1057,7,3026,36,2940,0.4742584384589158,-0.17739067499577993,-0.020678153157206544,526.5510528888606
8,200,0.7,1.0,3,10,True,500,0.01,7061,2964,1406,1550,1067,7,3026,3,2963,0.47564276048714477,-0.17409459710128586,-0.0067286032915984334,520.8647596123776
8,200,0.7,1.5,1,10,True,500,0.01,7061,2419,924,1476,673,19,3026,942,2419,0.385,-0.13512179328700194,0.26464868192714935,342.58592657185363
8,200,0.7,1.5,2,10,True,500,0.01,7061,3077,1187,1867,867,22,3026,90,3076,0.3886705959397512,-0.1479250983529602,0.3519336517710604,467.47635391331687
8,200,0.7,1.5,3,10,True,500,0.01,7061,3139,1219,1897,883,22,3026,12,3138,0.39120667522464697,-0.14031601193252385,0.3603678922192752,454.2196648127242
8,200,0.7,2.0,1,10,True,500,0.01,7061,2345,733,1577,526,34,3026,1163,2344,0.31731601731601733,-0.13595692092229028,0.18880801085042476,336.1947927896774
8,200,0.7,2.0,2,10,True,500,0.01,7061,3168,1028,2101,717,37,3026,149,3166,0.3285394694790668,-0.11228171517068496,0.4642093020206604,383.1911395045306
8,200,0.7,2.0,3,10,True,500,0.01,7061,3279,1063,2177,738,37,3026,17,3277,0.32808641975308644,-0.12604488055607085,0.4208078709016001,438.67275716530514
