cfg_id,ema_periods,periodos_htf_min,buf_bp,rr,max_concurrent_por_direccion,n_trades,n_win,n_loss,win_rate,profit_factor,expectancy_r,net_r,net_usd,avg_winner_r,avg_loser_r,max_drawdown_r,max_drawdown_usd,longest_losing_streak,total_costs_usd,swap_total_usd,commission_total_usd,n_long,n_short
cfg_0000,8,200,0.2,0.5,1,5355,3660,1695,0.6834733893557423,0.9403370023158331,-0.01974503574265906,-105.73466640193926,-87.8619071259867,0.4553172436267231,-1.0455432319030948,124.31290193086616,764.5786381742423,7,1155.9970000000767,-51.744000000000035,0.0,2663,2692
cfg_0001,8,200,0.2,0.5,2,5355,3660,1695,0.6834733893557423,0.9403370023158331,-0.01974503574265906,-105.73466640193926,-87.8619071259867,0.4553172436267231,-1.0455432319030948,124.31290193086616,764.5786381742423,7,1155.9970000000767,-51.744000000000035,0.0,2663,2692
cfg_0002,8,200,0.2,0.5,3,5355,3660,1695,0.6834733893557423,0.9403370023158331,-0.01974503574265906,-105.73466640193926,-87.8619071259867,0.4553172436267231,-1.0455432319030948,124.31290193086616,764.5786381742423,7,1155.9970000000767,-51.744000000000035,0.0,2663,2692
cfg_0003,8,200,0.2,1.0,1,4746,2391,2355,0.5037926675094817,0.9319704149388247,-0.035178500768319534,-166.9571646464445,-1119.765638040229,0.9565987049901562,-1.0421166319651416,198.48908739655232,1583.5469635697568,10,1076.7145000000796,-95.40300000000015,0.0,2377,2369
cfg_0004,8,200,0.2,1.0,2,4746,2391,2355,0.5037926675094817,0.9319704149388247,-0.035178500768319534,-166.9571646464445,-1119.765638040229,0.9565987049901562,-1.0421166319651416,198.48908739655232,1583.5469635697568,10,1076.7145000000796,-95.40300000000015,0.0,2377,2369
cfg_0005,8,200,0.2,1.0,3,4746,2391,2355,0.5037926675094817,0.9319704149388247,-0.035178500768319534,-166.9571646464445,-1119.765638040229,0.9565987049901562,-1.0421166319651416,198.48908739655232,1583.5469635697568,10,1076.7145000000796,-95.40300000000015,0.0,2377,2369
cfg_0006,8,200,0.2,1.5,1,3986,1612,2373,0.4045169385194479,0.9497734508468179,-0.03111696058608398,-124.03220489613074,-847.438993729575,1.4545497212618796,-1.0406468769340742,144.31956009886585,1532.3326519629525,16,945.3175000000615,-121.81400000000018,0.0,1988,1998
cfg_0007,8,200,0.2,1.5,2,3986,1612,2373,0.4045169385194479,0.9497734508468179,-0.03111696058608398,-124.03220489613074,-847.438993729575,1.4545497212618796,-1.0406468769340742,144.31956009886585,1532.3326519629525,16,945.3175000000615,-121.81400000000018,0.0,1988,1998
cfg_0008,8,200,0.2,1.5,3,3986,1612,2373,0.4045169385194479,0.9497734508468179,-0.03111696058608398,-124.03220489613074,-847.438993729575,1.4545497212618796,-1.0406468769340742,144.31956009886585,1532.3326519629525,16,945.3175000000615,-121.81400000000018,0.0,1988,1998
cfg_0009,8,200,0.2,2.0,1,3235,1068,2165,0.33034333436436747,0.9270104417595061,-0.05083306771220774,-164.44497404899204,-1338.7907438124041,1.9541020441013324,-1.0406434829417948,178.2358335584696,1515.0001830392946,17,799.1960000000352,-134.21100000000015,0.0,1619,1616
