ema_periods,periodos_htf_min,buf_bp,rr,max_concurrent_por_direccion,valid_bars,orden_viva,max_bars_trade,fixed_lot,n_sig,n_fill,n_win,n_loss,n_none,n_open_timeout,n_skip_stop,n_skip_concurrency,n_trades,win_rate,expectancy_r,expectancy_usd,max_drawdown_r
14,800,2.7,3.0,1,10,True,500,0.01,4115,1018,254,720,157,42,2613,327,1016,0.26078028747433263,0.010356997000978288,1.5111181977935542,36.40422862611892
14,800,1.2,3.0,3,10,True,500,0.01,4115,1236,315,876,188,43,2691,0,1234,0.26448362720403024,0.005522169646600391,1.065796416817582,66.15914252335722
14,800,1.2,3.0,1,10,True,500,0.01,4115,1007,254,711,149,40,2691,268,1005,0.2632124352331606,0.003424898311598839,1.3905733548868886,58.97598139092692
14,800,1.2,3.0,2,10,True,500,0.01,4115,1209,307,857,186,43,2691,29,1207,0.26374570446735396,0.0027603745766686906,1.0863586977770106,68.75087942701148
20,200,1.2,3.0,1,10,True,500,0.01,4348,1805,455,1305,235,44,1145,1163,1804,0.2585227272727273,0.0010797160278863316,1.1809079725708516,86.66221728137674
14,800,2.7,3.0,2,10,True,500,0.01,4115,1256,313,896,195,45,2613,51,1254,0.2588916459884202,0.00012089981016430161,1.1040251176078242,53.839536948283076
14,800,2.7,3.0,3,10,True,500,0.01,4115,1298,324,927,196,45,2613,8,1296,0.2589928057553957,8.008380023301719e-05,1.0525825724328888,52.30071283483566
17,200,3.2,3.0,3,10,True,500,0.01,4770,3041,776,2203,425,60,1241,63,3039,0.2604900973481034,-0.0010970516393445,1.3017971535917148,89.34530906071497
17,200,2.2,3.0,3,10,True,500,0.01,4770,2986,759,2167,419,58,1322,43,2984,0.2593984962406015,-0.005739114671678843,1.2649179024652228,84.75152893398965
14,800,2.2,3.0,1,10,True,500,0.01,4115,1016,257,716,152,41,2637,310,1014,0.2641315519013361,-0.0064917496805095305,1.5592986331674223,52.92444841147342
14,800,1.2,2.0,1,10,True,500,0.01,4115,1005,349,631,199,24,2691,220,1004,0.35612244897959183,-0.009070334515774992,0.6157287894580832,50.499484265173656
14,800,0.2,3.0,1,10,True,500,0.01,4115,995,250,705,159,38,2737,224,993,0.2617801047120419,-0.010135127194762873,1.2789028731808048,57.109378785961574
17,800,2.7,3.0,1,10,True,500,0.01,3711,970,232,690,141,47,2285,315,969,0.25162689804772237,-0.010571543433646939,1.5931850047826963,74.26241499089545
14,800,0.2,3.0,2,10,True,500,0.01,4115,1173,297,833,191,41,2737,14,1171,0.2628318584070796,-0.012475679946962675,1.0172637252263983,64.49797072993817
17,200,3.2,3.0,2,10,True,500,0.01,4770,2767,696,2010,390,59,1241,372,2765,0.2572062084257206,-0.012588286620896305,1.2424558375059158,87.00837118534834
17,800,3.2,3.0,3,10,True,500,0.01,3711,1256,308,896,182,51,2261,12,1255,0.2558139534883721,-0.012872569719985903,1.0685558441630187,86.53425420437352
14,800,0.2,3.0,3,10,True,500,0.01,4115,1186,300,843,192,41,2737,0,1184,0.26246719160104987,-0.013770358939701683,1.0022671046296636,66.03322161073915
17,200,3.2,2.5,3,10,True,500,0.01,4770,3017,873,2087,466,55,1241,46,3015,0.29493243243243245,-0.014629598350389008,0.8703434757282155,78.52053545158233
14,800,3.2,3.0,3,10,True,500,0.01,4115,1317,333,937,193,45,2594,11,1315,0.2622047244094488,-0.015021732515871402,1.0312532234998641,80.81718630692941
17,200,2.2,3.0,2,10,True,500,0.01,4770,2765,696,2010,392,57,1322,291,2763,0.2572062084257206,-0.015281817743093052,1.2370214783015527,105.11522700898124
