ema_periods,periodos_htf_min,buf_bp,rr,max_concurrent_por_direccion,valid_bars,orden_viva,max_bars_trade,fixed_lot,entrada_viva,una_operacion_a_la_vez,n_sig,n_fill,n_win,n_loss,n_none,n_open_timeout,n_skip_stop,n_skip_concurrency,n_trades,win_rate,expectancy_r,expectancy_usd,max_drawdown_r
17,800,2.2,3.0,1,10,True,500,0.01,False,True,3840,1071,257,793,64,20,3,2702,1070,0.24476190476190476,0.8987462891627482,0.14359279840015782,15.999422047746407
17,800,2.2,3.0,2,10,True,500,0.01,False,True,3840,1071,257,793,64,20,3,2702,1070,0.24476190476190476,0.8987462891627482,0.14359279840015782,15.999422047746407
17,800,2.2,3.0,3,10,True,500,0.01,False,True,3840,1071,257,793,64,20,3,2702,1070,0.24476190476190476,0.8987462891627482,0.14359279840015782,15.999422047746407
23,800,1.2,3.0,2,10,True,500,0.01,False,True,3556,929,218,685,52,25,6,2569,928,0.24141749723145073,0.8778849811933221,0.1659348903734839,14.341655678989625
23,800,1.2,3.0,3,10,True,500,0.01,False,True,3556,929,218,685,52,25,6,2569,928,0.24141749723145073,0.8778849811933221,0.1659348903734839,14.341655678989625
23,800,1.2,3.0,1,10,True,500,0.01,False,True,3556,929,218,685,52,25,6,2569,928,0.24141749723145073,0.8778849811933221,0.1659348903734839,14.341655678989625
17,800,1.7,3.0,2,10,True,500,0.01,False,True,3840,1099,259,819,65,20,3,2673,1098,0.24025974025974026,0.8738955364943434,0.1385898607442755,16.002595946356678
17,800,1.7,3.0,1,10,True,500,0.01,False,True,3840,1099,259,819,65,20,3,2673,1098,0.24025974025974026,0.8738955364943434,0.1385898607442755,16.002595946356678
17,800,1.7,3.0,3,10,True,500,0.01,False,True,3840,1099,259,819,65,20,3,2673,1098,0.24025974025974026,0.8738955364943434,0.1385898607442755,16.002595946356678
17,500,3.2,3.0,2,10,True,500,0.01,False,True,4687,1053,246,789,53,17,4,3577,1052,0.23768115942028986,0.8721458529949,0.13339096536735254,16.970342871691514
17,500,3.2,3.0,3,10,True,500,0.01,False,True,4687,1053,246,789,53,17,4,3577,1052,0.23768115942028986,0.8721458529949,0.13339096536735254,16.970342871691514
17,500,3.2,3.0,1,10,True,500,0.01,False,True,4687,1053,246,789,53,17,4,3577,1052,0.23768115942028986,0.8721458529949,0.13339096536735254,16.970342871691514
17,800,1.2,3.0,1,10,True,500,0.01,False,True,3840,1126,262,843,68,20,4,2642,1125,0.23710407239819004,0.8718637885033181,0.13377534104674832,16.00961861669856
17,800,1.2,3.0,2,10,True,500,0.01,False,True,3840,1126,262,843,68,20,4,2642,1125,0.23710407239819004,0.8718637885033181,0.13377534104674832,16.00961861669856
17,800,1.2,3.0,3,10,True,500,0.01,False,True,3840,1126,262,843,68,20,4,2642,1125,0.23710407239819004,0.8718637885033181,0.13377534104674832,16.00961861669856
23,800,1.7,3.0,2,10,True,500,0.01,False,True,3556,913,213,674,50,25,6,2587,912,0.24013528748590757,0.8661966257959669,0.16820184590182177,14.334638444026197
23,800,1.7,3.0,3,10,True,500,0.01,False,True,3556,913,213,674,50,25,6,2587,912,0.24013528748590757,0.8661966257959669,0.16820184590182177,14.334638444026197
23,800,1.7,3.0,1,10,True,500,0.01,False,True,3556,913,213,674,50,25,6,2587,912,0.24013528748590757,0.8661966257959669,0.16820184590182177,14.334638444026197
17,500,1.2,3.0,1,10,True,500,0.01,False,True,4687,1183,274,891,67,17,7,3430,1182,0.2351931330472103,0.8638532105008737,0.11861846414413356,17.985421915386155
17,500,1.2,3.0,2,10,True,500,0.01,False,True,4687,1183,274,891,67,17,7,3430,1182,0.2351931330472103,0.8638532105008737,0.11861846414413356,17.985421915386155
