trade_id,direction,signal_bar,limit_created_bar,fill_bar,exit_bar,entry_time_utc,entry,stop,target,exit_price,outcome,pnl_usd,pnl_r,nights_held,A_state,A_resolution,A_alignment,A_pivot_bar,A_confirmation_bar,A_prior_pivot_bar,A_age,A_bullish_active,A_bearish_active,A_event_id,B_state,B_resolution,B_alignment,B_pivot_bar,B_confirmation_bar,B_prior_pivot_bar,B_age,B_bullish_active,B_bearish_active,B_event_id,sub_periodo
T00000,SHORT,17,17,18,21,2025-04-14T20:15:03+00:00,3211.1703807115127,3213.9495528400003,3208.391208583025,3208.391208583025,win,2.619672128487764,0.9426088084416147,0,NONE,NONE,NONE,,,,,False,False,,NONE,NONE,NONE,,,,,False,False,,sub1
T00001,SHORT,35,35,36,63,2025-04-14T22:45:03+00:00,3212.631768538801,3215.3536090000002,3209.909928077602,3215.3536090000002,loss,-2.8813404611987607,-1.0586000547326315,1,NONE,NONE,NONE,,,,,False,False,,NONE,NONE,NONE,,,,,False,False,,sub1
T00002,SHORT,76,76,77,86,2025-04-15T02:10:03+00:00,3220.8430291216437,3226.1090392,3215.5770190432872,3226.1090392,loss,-5.426010078356285,-1.0303835347101713,0,NONE,NONE,NONE,,,,,False,False,,NONE,NONE,NONE,,,,,False,False,,sub1
T00003,LONG,194,194,195,196,2025-04-15T12:00:03+00:00,3220.4067960805382,3216.64732896,3224.1662632010766,3224.1662632010766,win,3.599967120538622,0.9575737744510686,0,NONE,NONE,NONE,,,,,False,False,,NONE,NONE,NONE,,,,,False,False,,sub1
T00004,LONG,202,202,205,207,2025-04-15T12:40:03+00:00,3219.9279252022134,3214.1364293999995,3225.719421004427,3225.719421004427,win,5.631995802214078,0.9724596191645718,0,NONE,NONE,NONE,,,,,False,False,,NONE,NONE,NONE,,,,,False,False,,sub1
T00005,SHORT,210,210,211,213,2025-04-15T13:20:03+00:00,3221.6708500096224,3226.48805436,3216.8536456592446,3216.8536456592446,win,4.658204350378128,0.9669933039093138,0,BULLISH,NONE,OPPOSED,201.0,206.0,191.0,4.0,True,False,bullish|201|191|206,BULLISH,NONE,OPPOSED,201.0,206.0,191.0,4.0,True,False,bullish|201|191|206,sub1
T00006,SHORT,230,230,234,261,2025-04-15T15:00:03+00:00,3221.529960335214,3226.99007444,3216.069846230428,3226.99007444,loss,-5.620114104785898,-1.0293034169120399,0,NONE,NONE,NONE,,,,,False,False,,NONE,NONE,NONE,,,,,False,False,,sub1
T00007,SHORT,282,282,283,290,2025-04-15T19:20:03+00:00,3228.684293795603,3231.99027444,3225.378313151206,3231.99027444,loss,-3.46598064439695,-1.0483971375546373,0,NONE,NONE,NONE,,,,,False,False,,NONE,NONE,NONE,,,,,False,False,,sub1
T00008,SHORT,293,293,296,307,2025-04-15T20:15:03+00:00,3229.3190509476835,3233.80334696,3224.834754935367,3233.80334696,loss,-4.643796012316216,-1.035568570754846,0,BEARISH,NONE,ALIGNED,280.0,285.0,264.0,8.0,False,True,bearish|280|264|285,BEARISH,NONE,ALIGNED,280.0,285.0,264.0,8.0,False,True,bearish|280|264|285,sub1
T00009,SHORT,324,324,325,325,2025-04-15T23:50:03+00:00,3241.677667416799,3248.8209476399998,3234.5343871935984,3248.8209476399998,loss,-7.303280223200545,-1.0223986732986043,0,NONE,NONE,NONE,,,,,False,False,,NONE,NONE,NONE,,,,,False,False,,sub1
T00010,SHORT,358,358,359,367,2025-04-16T02:40:03+00:00,3270.4471303462606,3275.55501696,3265.339243732521,3275.55501696,loss,-5.267386613739291,-1.0312262217353687,0,BEARISH,NONE,ALIGNED,351.0,356.0,335.0,2.0,False,True,bearish|351|335|356,BEARISH,NONE,ALIGNED,351.0,356.0,335.0,2.0,False,True,bearish|351|335|356,sub1
T00011,SHORT,398,398,399,402,2025-04-16T06:00:03+00:00,3287.613686566649,3291.9166714,3283.310701733298,3291.9166714,loss,-4.462484833350572,-1.0370672930946743,0,NONE,NONE,NONE,,,,,False,False,,NONE,NONE,NONE,,,,,False,False,,sub1
T00012,SHORT,406,406,407,410,2025-04-16T06:40:03+00:00,3289.486659048707,3295.17380168,3283.7995164174145,3295.17380168,loss,-5.846142631292423,-1.0279578006580623,0,NONE,NONE,NONE,,,,,False,False,,NONE,NONE,NONE,,,,,False,False,,sub1
T00013,SHORT,477,477,478,493,2025-04-16T12:35:03+00:00,3305.333323489746,3313.8555489200003,3296.8110980594915,3313.8555489200003,loss,-8.681225430254017,-1.0186570985830992,0,NONE,NONE,NONE,,,,,False,False,,NONE,NONE,NONE,,,,,False,False,,sub1
T00014,SHORT,500,500,501,514,2025-04-16T14:30:03+00:00,3310.047391887555,3319.7527848,3300.34199897511,3319.7527848,loss,-9.864892912444702,-1.0164341620621284,0,NONE,NONE,NONE,,,,,False,False,,NONE,NONE,NONE,,,,,False,False,,sub1
T00015,SHORT,526,526,527,546,2025-04-16T16:40:03+00:00,3325.9555629238703,3333.08031788,3318.8308079677404,3333.08031788,loss,-7.2847549561297456,-1.0224569126917404,0,NONE,NONE,NONE,,,,,False,False,,NONE,NONE,NONE,,,,,False,False,,sub1
T00016,SHORT,562,562,563,568,2025-04-16T19:40:03+00:00,3338.615779029141,3342.63069988,3334.6008581782817,3334.6008581782817,win,3.8554208508594456,0.9602731894538794,0,NONE,NONE,NONE,,,,,False,False,,NONE,NONE,NONE,,,,,False,False,,sub1
T00017,SHORT,591,591,592,603,2025-04-16T23:05:03+00:00,3350.771103567903,3357.88631008,3343.6558970558062,3343.6558970558062,win,6.9562065120971965,0.9776534947047105,1,NONE,NONE,NONE,,,,,False,False,,NONE,NONE,NONE,,,,,False,False,,sub1
T00018,LONG,614,614,615,616,2025-04-17T01:00:03+00:00,3346.363369448402,3341.8933189199997,3350.833419976804,3350.833419976804,win,4.310050528402371,0.9642062211638925,0,NONE,NONE,NONE,,,,,False,False,,NONE,NONE,NONE,,,,,False,False,,sub1
T00019,LONG,629,629,630,688,2025-04-17T02:15:03+00:00,3335.5743103290956,3320.6681679599997,3350.4804526981916,3320.6681679599997,loss,-15.065642369095713,-1.0107002869052448,0,NONE,NONE,NONE,,,,,False,False,,NONE,NONE,NONE,,,,,False,False,,sub1
T00020,LONG,694,694,695,705,2025-04-17T07:40:03+00:00,3323.1549068162662,3314.1464288399998,3332.1633847925327,3314.1464288399998,loss,-9.16797797626623,-1.0177055436467701,0,NONE,NONE,NONE,,,,,False,False,,NONE,NONE,NONE,,,,,False,False,,sub1
T00021,SHORT,739,739,741,742,2025-04-17T11:25:03+00:00,3328.039888671071,3332.6032987999997,3323.476478542142,3323.476478542142,win,4.4044101289291575,0.9651576352974056,0,NONE,NONE,NONE,,,,,False,False,,NONE,NONE,NONE,,,,,False,False,,sub1
T00022,SHORT,750,750,758,768,2025-04-17T12:20:03+00:00,3329.4196843492964,3342.50969504,3316.3296736585926,3316.3296736585926,win,12.930510690704068,0.9878151360019114,0,NONE,NONE,NONE,,,,,False,False,,NONE,NONE,NONE,,,,,False,False,,sub1
T00023,LONG,784,784,786,803,2025-04-17T15:10:03+00:00,3299.390657727605,3283.69064712,3315.0906683352096,3315.0906683352096,win,15.540510607605029,0.989840771195244,0,NONE,NONE,NONE,,,,,False,False,,NONE,NONE,NONE,,,,,False,False,,sub1
T00024,SHORT,915,915,916,925,2025-04-21T03:10:03+00:00,3381.4938677361347,3385.42941176,3377.558323712269,3377.558323712269,win,3.776544023865881,0.9595989781754546,0,BEARISH,NONE,ALIGNED,908.0,913.0,891.0,2.0,False,True,bearish|908|891|913,BEARISH,NONE,ALIGNED,908.0,913.0,891.0,2.0,False,True,bearish|908|891|913,sub1
