trade_id,asset,direction,limit_created_bar,entry_time_utc,hour_utc,session_utc,weekday,sub_periodo,fate,filled,fill_bar,exit_bar,outcome,pnl_usd,pnl_r,roc_atr_3,roc_atr_5,roc_atr_10,roc_atr_20,roc_atr_40,roc_atr_60,ema_slope_atr_3,ema_slope_atr_5,ema_slope_atr_10,ema_slope_atr_20,pct_favorable_5,efficiency_5,efficiency_signed_5,pct_favorable_10,efficiency_10,efficiency_signed_10,pct_favorable_20,efficiency_20,efficiency_signed_20,current_streak,accel_3_20,accel_5_20,accel_10_40,rsi_now,rsi_delta_3,rsi_delta_5,rsi_delta_10,rsi_delta_20,rsi_gt70,rsi_gt80,rsi_lt30,rsi_lt20,rsi_extreme_streak,rsi_max_20,rsi_min_20,atr14,atr_pct,atr5_atr20_ratio,div_alignment,div_age
L00000,XAU,LONG,1,2025-04-14T18:55:03+00:00,18,Nueva York,Monday,sub1,EXPIRED,False,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,,,,,,NONE,
L00001,XAU,SHORT,17,2025-04-14T20:15:03+00:00,20,Nueva York,Monday,sub1,FILLED_CLOSED,True,18.0,21.0,win,2.619672128487764,0.9426088084416147,0.9607147511874307,0.8851479515310916,0.1772063547497745,,,,-0.19210559989377676,-0.5701845443377139,-1.2691132000063536,,0.8,0.7372101582628208,0.7372101582628208,0.6,0.04336541581051444,0.04336541581051444,,,,3,,,,67.59544381746534,11.764034177075217,,,,False,False,False,False,0,79.35947799454055,67.59544381746534,2.2628985318617656,0.0704759169555831,,NONE,
L00002,XAU,SHORT,35,2025-04-14T22:45:03+00:00,22,Post-NY / transicion,Monday,sub1,FILLED_CLOSED,True,36.0,63.0,loss,-2.8813404611987607,-1.0586000547326315,0.2763443955987913,-0.10858438829138384,-1.246135122773456,0.15626959584800318,,,-0.3322483316299982,-0.5387517644324129,-1.003682896418324,-0.9053857979219968,0.2,0.04302299112221014,-0.04302299112221014,0.3,0.23121202430446833,-0.23121202430446833,0.45,0.014043783560509839,0.014043783560509839,1,0.08430131874053028,-0.029530357450676926,,57.36206175896192,5.865025613038583,3.8760591166865055,0.7860918881652523,20.660325737072775,False,False,False,False,0,74.21366477476872,55.75802064565589,1.7405817076822634,0.054180772804186816,0.817685622797399,NONE,
L00003,XAU,SHORT,76,2025-04-15T02:10:03+00:00,2,Asia,Tuesday,sub1,FILLED_CLOSED,True,77.0,86.0,loss,-5.426010078356285,-1.0303835347101713,1.545367622782584,0.7348894945297775,1.7462374179540896,-2.4443824377575294,-2.318051434174115,-2.4863761231591948,-0.0786665880428112,-0.4300738690106012,-1.7073355760573572,-2.8280137034908197,0.4,0.29288702928870586,0.29288702928870586,0.6,0.40794637017659946,0.40794637017659946,0.45,0.2742334419535992,-0.2742334419535992,2,0.6373416628154045,0.26919702079383195,0.23257502764976185,52.8809308747316,17.41288353771794,12.675865435171893,28.90152634944264,-2.68188728310308,False,False,False,False,0,81.78245722417424,48.27065024992255,2.857572486246526,0.08876527255905656,1.2496786955862311,NONE,
L00004,XAU,SHORT,112,2025-04-15T05:10:03+00:00,5,Asia,Tuesday,sub1,EXPIRED,False,,,,,,1.9749170183941998,1.33477150208698,0.06810058684111828,-1.2656980497198034,-2.5445297840444914,-6.690882657146009,-0.06576154516267896,-0.5574795510961789,-1.160686007944156,-2.552637654902342,0.6,0.5104166666665891,0.5104166666665891,0.5,0.01287948482059613,0.01287948482059613,0.45,0.16626198083069985,-0.16626198083069985,3,0.7215905752840568,0.33023920290338615,0.07042330328522411,51.7472814111889,21.941358624627476,18.67822060096048,15.025323802384271,10.027235328235214,False,False,False,False,0,73.68864003581638,51.7472814111889,2.0557825782984653,0.06369039286500655,0.9615789069451399,NONE,
L00005,XAU,LONG,194,2025-04-15T12:00:03+00:00,12,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,195.0,196.0,win,3.599967120538622,0.9575737744510686,1.448349130844808,0.8255461456073034,-0.31461623617638595,-1.4084863107298777,-2.834546552908179,-1.9867115186343682,-0.10851435094433094,-0.5036358717630396,-1.1693031983369835,-2.0621256917949564,0.6,0.3985927152317837,0.3985927152317837,0.4,0.09557291666665875,-0.09557291666665875,0.3,0.1494043830135539,-0.1494043830135539,3,0.5532073591514299,0.2355335446579546,0.03940204020506587,47.495052379694314,14.786621918949251,11.135068310320051,4.294938292617019,1.9863355914175145,False,False,False,False,0,48.57690529689505,32.70843046074506,2.3330010202919564,0.0724255797316485,1.0010954168099784,NONE,
L00006,XAU,SHORT,198,2025-04-15T12:20:03+00:00,12,Londres/NY (overlap),Tuesday,sub1,EXPIRED,False,,,,,,1.1142492721582309,0.7446375926344516,0.8453423373484599,2.012290149751201,4.085941613485875,1.451014601255615,-0.08765524985602556,-0.18565108094318655,0.44196618849428965,1.3906995247621634,0.6,0.22261789144276906,0.22261789144276906,0.6,0.165465592765303,0.165465592765303,0.7,0.2225282401309162,0.2225282401309162,2,0.2708019165651836,0.04831301103933028,-0.017614306602300872,39.40095728718652,7.9154141513967105,3.903566470096436,-0.0325478438888851,5.009440795908716,False,False,False,False,0,56.12429804492754,32.70843046074506,2.7704752223177707,0.08609037510997233,1.3081764672404812,NONE,
L00007,XAU,LONG,202,2025-04-15T12:40:03+00:00,12,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,205.0,207.0,win,5.631995802214078,0.9724596191645718,0.25593070354391245,-0.6401299942904443,0.701080315869033,-1.0507107675114222,-2.0938406492543367,0.023955599028452,-0.2010469644693373,-0.4024371578439925,-0.10437210189933571,-1.089304735920308,0.4,0.17413181555720098,-0.17413181555720098,0.5,0.1219795293869332,0.1219795293869332,0.35,0.1360050241394263,-0.1360050241394263,1,0.1378457728902086,-0.07549046048251774,0.1224540478182617,48.44643945301692,4.176716819712915,-3.41726336228043,14.34113364974813,0.26424018586090625,False,False,False,False,0,56.12429804492754,32.70843046074506,3.2977676703617465,0.10240080256963222,1.404866030880592,NONE,
L00008,XAU,SHORT,210,2025-04-15T13:20:03+00:00,13,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,211.0,213.0,win,4.658204350378128,0.9669933039093138,1.108951230847576,0.3501160390074595,-0.3699509390714797,-0.421040833175596,1.224053756976292,2.798524081748952,-0.028748229824537272,-0.31374097921673,-0.3949134364695698,-0.15080720049946109,0.4,0.16911017564234235,0.16911017564234235,0.5,0.08432084389343951,-0.08432084389343951,0.5,0.047892523843721134,-0.047892523843721134,1,0.3907024519413051,0.0910752494602717,-0.06759643783155526,46.19629392111438,10.884122440625099,4.606962705850357,-3.2539083899001113,-10.90050398692187,False,False,False,False,0,57.08041636173948,32.70843046074506,3.327468239680223,0.10332789614881292,1.133679853801615,OPPOSED,4.0
L00009,XAU,LONG,218,2025-04-15T14:00:03+00:00,14,Londres/NY (overlap),Tuesday,sub1,EXPIRED,False,,,,,,0.6658907701598891,0.8469595620458262,-0.7438223666675652,0.4151207813974921,-1.0187691543465573,-2.4963830881312528,-0.4041584589771675,-0.7272439730983656,-1.0186562492933722,-0.770688966638121,0.6,0.20029195304422287,0.20029195304422287,0.5,0.11811795458257998,-0.11811795458257998,0.5,0.042311120432027,0.042311120432027,2,0.20120755098342175,0.14863587333929063,-0.04891300780809258,50.631993886517236,9.281249901551405,13.265367630259213,-2.175255350302642,11.231036599330714,False,False,False,False,0,57.08041636173948,32.50968300692573,3.888025057590585,0.12075680790351272,1.2724333135614903,NONE,
