trade_id,asset,direction,limit_created_bar,entry_time_utc,hour_utc,session_utc,weekday,sub_periodo,fate,filled,fill_bar,exit_bar,outcome,pnl_usd,pnl_r,n_d1_closed_days,momentum_roc_atr_10,div_alignment,legacy_aligned_with_d1,closed_dist_ema20_atr,forming_dist_ema20_atr,closed_ema20_slope,forming_ema20_slope,closed_dist_ema50_atr,forming_dist_ema50_atr,closed_ema50_slope,forming_ema50_slope,closed_dist_ema200_atr,forming_dist_ema200_atr,closed_ema200_slope,forming_ema200_slope,closed_ret_1d,forming_ret_1d,closed_ret_3d,forming_ret_3d,closed_ret_5d,forming_ret_5d,closed_ret_10d,forming_ret_10d,closed_rsi14,closed_rsi14_delta,forming_rsi14,forming_rsi14_delta,closed_atr14,closed_atr14_pct,closed_swing_high_type,closed_swing_high_age_days,closed_swing_low_type,closed_swing_low_age_days,aligned_closed_dist_ema20_atr,aligned_forming_dist_ema20_atr,aligned_closed_ema20_slope,aligned_forming_ema20_slope,aligned_closed_dist_ema50_atr,aligned_forming_dist_ema50_atr,aligned_closed_ema50_slope,aligned_forming_ema50_slope,aligned_closed_dist_ema200_atr,aligned_forming_dist_ema200_atr,aligned_closed_ema200_slope,aligned_forming_ema200_slope,aligned_closed_ret_1d,aligned_forming_ret_1d,aligned_closed_ret_3d,aligned_forming_ret_3d,aligned_closed_ret_5d,aligned_forming_ret_5d,aligned_closed_ret_10d,aligned_forming_ret_10d,aligned_closed_rsi14_delta,aligned_forming_rsi14_delta
L00000,XAU,LONG,1,2025-04-14T18:55:03+00:00,18,Nueva York,Monday,sub1,EXPIRED,False,,,,,,0,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L00001,XAU,SHORT,17,2025-04-14T20:15:03+00:00,20,Nueva York,Monday,sub1,FILLED_CLOSED,True,18.0,21.0,win,2.619672128487764,0.9426088084416147,0,0.1772063547497745,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L00002,XAU,SHORT,35,2025-04-14T22:45:03+00:00,22,Post-NY / transicion,Monday,sub1,FILLED_CLOSED,True,36.0,63.0,loss,-2.8813404611987607,-1.0586000547326315,1,-1.246135122773456,NONE,,,,,,,,,,,,,,,0.000675621796325374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000675621796325374,,,,,,,,
L00003,XAU,SHORT,76,2025-04-15T02:10:03+00:00,2,Asia,Tuesday,sub1,FILLED_CLOSED,True,77.0,86.0,loss,-5.426010078356285,-1.0303835347101713,1,1.7462374179540896,NONE,,,,,,,,,,,,,,,0.002762916244078541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002762916244078541,,,,,,,,
L00004,XAU,SHORT,112,2025-04-15T05:10:03+00:00,5,Asia,Tuesday,sub1,EXPIRED,False,,,,,,1,0.06810058684111828,NONE,,,,,,,,,,,,,,,0.005419614400306969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005419614400306969,,,,,,,,
L00005,XAU,LONG,194,2025-04-15T12:00:03+00:00,12,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,195.0,196.0,win,3.599967120538622,0.9575737744510686,1,-0.31461623617638595,NONE,,,,,,,,,,,,,,,0.0033837158015135385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0033837158015135385,,,,,,,,
L00006,XAU,SHORT,198,2025-04-15T12:20:03+00:00,12,Londres/NY (overlap),Tuesday,sub1,EXPIRED,False,,,,,,1,0.8453423373484599,NONE,,,,,,,,,,,,,,,0.0024062602012972652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0024062602012972652,,,,,,,,
L00007,XAU,LONG,202,2025-04-15T12:40:03+00:00,12,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,205.0,207.0,win,5.631995802214078,0.9724596191645718,1,0.701080315869033,NONE,,,,,,,,,,,,,,,0.0031382616864815264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0031382616864815264,,,,,,,,
L00008,XAU,SHORT,210,2025-04-15T13:20:03+00:00,13,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,211.0,213.0,win,4.658204350378128,0.9669933039093138,1,-0.3699509390714797,OPPOSED,,,,,,,,,,,,,,,0.0030912266974335648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0030912266974335648,,,,,,,,
L00009,XAU,LONG,218,2025-04-15T14:00:03+00:00,14,Londres/NY (overlap),Tuesday,sub1,EXPIRED,False,,,,,,1,-0.7438223666675652,NONE,,,,,,,,,,,,,,,0.0029090050511217194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029090050511217194,,,,,,,,
L00010,XAU,SHORT,230,2025-04-15T15:00:03+00:00,15,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,234.0,261.0,loss,-5.620114104785898,-1.0293034169120399,1,0.36588457197632784,NONE,,,,,,,,,,,,,,,0.0026588785861841736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0026588785861841736,,,,,,,,
L00011,XAU,SHORT,282,2025-04-15T19:20:03+00:00,19,Nueva York,Tuesday,sub1,FILLED_CLOSED,True,283.0,290.0,loss,-3.46598064439695,-1.0483971375546373,1,0.3934421201473595,NONE,,,,,,,,,,,,,,,0.0051196495363781975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0051196495363781975,,,,,,,,
L00012,XAU,SHORT,293,2025-04-15T20:15:03+00:00,20,Nueva York,Tuesday,sub1,FILLED_CLOSED,True,296.0,307.0,loss,-4.643796012316216,-1.035568570754846,1,-0.470249860888627,ALIGNED,,,,,,,,,,,,,,,0.005417433970351082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005417433970351082,,,,,,,,
L00013,XAU,SHORT,324,2025-04-15T23:50:03+00:00,23,Post-NY / transicion,Tuesday,sub1,FILLED_CLOSED,True,325.0,325.0,loss,-7.303280223200545,-1.0223986732986043,2,-0.4230887230620604,NONE,,,,,,,,,,,,,,0.006052873557489773,0.0035259061838969746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006052873557489773,-0.0035259061838969746,,,,,,,,
L00014,XAU,LONG,325,2025-04-15T23:55:03+00:00,23,Post-NY / transicion,Tuesday,sub1,EXPIRED,False,,,,,,2,4.2639885323401145,NONE,,,,,,,,,,,,,,0.006052873557489773,0.006802881161976256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006052873557489773,0.006802881161976256,,,,,,,,
