trade_id,direction,direction_sign,limit_created_bar,sub_periodo,pnl_r,pnl_usd,outcome,closed_ema200_slope,momentum_roc_atr_10,n_d1_closed_days,legacy_aligned_with_d1_csv,idx_naive_closed_blocks,state_naive3,reason_naive,S0_legacy_naive,idx_true_closed_days,state_true2,state_true3,state_true4,S0b_legacy_true_anchor,S_true2,S_true4,state_pivot,S3_pivot
L00001,SHORT,-1,17,sub1,0.9426088084416148,2.619672128487764,win,,0.1772063547497745,0,,0,,insufficient_blocks(<3),UNAVAILABLE,0,,,,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,,UNAVAILABLE
L00002,SHORT,-1,35,sub1,-1.0586000547326315,-2.8813404611987607,loss,,-1.246135122773456,1,,0,,insufficient_blocks(<3),UNAVAILABLE,1,,,,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,,UNAVAILABLE
L00003,SHORT,-1,76,sub1,-1.0303835347101713,-5.426010078356285,loss,,1.7462374179540896,1,,1,,insufficient_blocks(<3),UNAVAILABLE,1,,,,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,,UNAVAILABLE
L00005,LONG,1,194,sub1,0.9575737744510686,3.599967120538622,win,,-0.3146162361763859,1,,1,,insufficient_blocks(<3),UNAVAILABLE,1,,,,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,,UNAVAILABLE
L00007,LONG,1,202,sub1,0.9724596191645718,5.631995802214078,win,,0.701080315869033,1,,1,,insufficient_blocks(<3),UNAVAILABLE,1,,,,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,,UNAVAILABLE
L00008,SHORT,-1,210,sub1,0.9669933039093138,4.658204350378128,win,,-0.3699509390714797,1,,1,,insufficient_blocks(<3),UNAVAILABLE,1,,,,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,,UNAVAILABLE
L00010,SHORT,-1,230,sub1,-1.02930341691204,-5.620114104785898,loss,,0.3658845719763278,1,,1,,insufficient_blocks(<3),UNAVAILABLE,1,,,,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,,UNAVAILABLE
L00011,SHORT,-1,282,sub1,-1.0483971375546373,-3.46598064439695,loss,,0.3934421201473595,1,,1,,insufficient_blocks(<3),UNAVAILABLE,1,,,,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,,UNAVAILABLE
L00012,SHORT,-1,293,sub1,-1.035568570754846,-4.643796012316216,loss,,-0.470249860888627,1,,1,,insufficient_blocks(<3),UNAVAILABLE,1,,,,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,,UNAVAILABLE
L00013,SHORT,-1,324,sub1,-1.0223986732986043,-7.303280223200545,loss,,-0.4230887230620604,2,,1,,insufficient_blocks(<3),UNAVAILABLE,2,1.0,,,UNAVAILABLE,AGAINST,UNAVAILABLE,,UNAVAILABLE
