trade_id,asset,direction,limit_created_bar,entry_time_utc,hour_utc,session_utc,weekday,sub_periodo,fate,filled,fill_bar,time_to_fill_bars,exit_bar,outcome,pnl_usd,pnl_r,origin_bar,atr_m5,risk_price,risk_atr,risk_ticks,risk_usd,reward_price,reward_atr,reward_ticks,reward_usd,rr_nominal,rr_geometric,spread_price,spread_usd,spread_over_risk,spread_over_reward,breakeven_pct,rr_effective_net,cost_frac_of_target,swap_1night_estimate_usd,origin_retracement_frac,origin_dist_to_target_atr,distance_to_limit_atr,distance_to_limit_price,momentum_roc_atr_10
L00000,XAU,LONG,1,2025-04-14T18:55:03+00:00,18,Nueva York,Monday,sub1,EXPIRED,False,,,,,,,0,,2.724935593846567,,2724.935593846567,2.724935593846567,2.724935593846567,,2724.935593846567,2.724935593846567,1.0,1.0,0.16,0.16,0.058716984122968274,0.058716984122968274,52.93584920614841,0.8890789795506889,0.058716984122968274,-0.5493,0.4879655493147859,,,3.277153846153851,
L00001,XAU,SHORT,17,2025-04-14T20:15:03+00:00,20,Nueva York,Monday,sub1,FILLED_CLOSED,True,18.0,1.0,21.0,win,2.619672128487764,0.9426088084416147,15,2.2628985318617656,2.7791721284875166,1.228147037684891,2779.1721284875166,2.7791721284875166,2.7791721284875166,1.228147037684891,2779.1721284875166,2.7791721284875166,1.0,1.0,0.159,0.159,0.05721128186706849,0.05721128186706849,52.860564093353425,0.8917694450516429,0.05721128186706849,0.0,0.48816226719147493,2.399485147267039,0.12743864006814834,0.28838071151267286,0.1772063547497745
L00002,XAU,SHORT,35,2025-04-14T22:45:03+00:00,22,Post-NY / transicion,Monday,sub1,FILLED_CLOSED,True,36.0,1.0,63.0,loss,-2.8813404611987607,-1.0586000547326315,34,1.7405817076822634,2.721840461199008,1.5637533413029927,2721.840461199008,2.721840461199008,2.721840461199008,1.5637533413029927,2721.840461199008,2.721840461199008,1.0,1.0,0.16,0.16,0.05878375396385937,0.05878375396385937,52.93918769819297,0.8889598489893982,0.05878375396385937,0.0,0.48790148074399836,3.053618166236605,0.04985031062787176,0.08676853880115232,-1.246135122773456
L00003,XAU,SHORT,76,2025-04-15T02:10:03+00:00,2,Asia,Tuesday,sub1,FILLED_CLOSED,True,77.0,1.0,86.0,loss,-5.426010078356285,-1.0303835347101713,69,2.857572486246526,5.26601007835643,1.8428264212724947,5266.01007835643,5.26601007835643,5.26601007835643,1.8428264212724947,5266.01007835643,5.26601007835643,1.0,1.0,0.159,0.159,0.03019363761826019,0.03019363761826019,51.50968188091301,0.9413825973764197,0.03019363761826019,0.0,0.49379796999835834,3.6404959128008993,0.558876154263824,1.5970291216435726,1.7462374179540896
L00004,XAU,SHORT,112,2025-04-15T05:10:03+00:00,5,Asia,Tuesday,sub1,EXPIRED,False,,,,,,,109,2.0557825782984653,3.5845874901751813,1.743660797603451,3584.5874901751813,3.5845874901751813,3.5845874901751813,1.743660797603451,3584.5874901751813,3.5845874901751813,1.0,1.0,0.159,0.159,0.04435656834595201,0.04435656834595201,52.217828417297596,0.9150547433886422,0.04435656834595201,0.0,0.49081616720236887,3.4244229397920565,0.6901111454106693,1.418718469824853,0.06810058684111828
L00005,XAU,LONG,194,2025-04-15T12:00:03+00:00,12,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,195.0,1.0,196.0,win,3.599967120538622,0.9575737744510686,191,2.3330010202919564,3.7594671205383747,1.6114296941318558,3759.4671205383747,3.7594671205383747,3.7594671205383747,1.6114296941318558,3759.4671205383747,3.7594671205383747,1.0,1.0,0.16,0.16,0.04255922312125108,0.04255922312125108,52.127961156062554,0.9183562483983676,0.04255922312125108,-0.5493,0.4912945563304684,3.1677068020107186,0.3567096251666647,0.8322039194617901,-0.31461623617638595
L00006,XAU,SHORT,198,2025-04-15T12:20:03+00:00,12,Londres/NY (overlap),Tuesday,sub1,EXPIRED,False,,,,,,,197,2.7704752223177707,5.534219003251565,1.997570293598098,5534.219003251565,5.534219003251565,5.534219003251565,1.997570293598098,5534.219003251565,5.534219003251565,1.0,1.0,0.16,0.16,0.028911035126364518,0.028911035126364518,51.44555175631823,0.9438026532142035,0.028911035126364518,0.0,0.4941017283355333,3.948561213751233,0.9633105451548225,2.6688279967488597,0.8453423373484599
L00007,XAU,LONG,202,2025-04-15T12:40:03+00:00,12,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,205.0,3.0,207.0,win,5.631995802214078,0.9724596191645718,199,3.2977676703617465,5.791495802213831,1.7561867242086633,5791.495802213831,5.791495802213831,5.791495802213831,1.7561867242086633,5791.495802213831,5.791495802213831,1.0,1.0,0.159,0.159,0.027454047353228053,0.027454047353228053,51.372702367661404,0.9465590749796529,0.027454047353228053,-0.5493,0.4943877302942403,3.473386287145827,0.15861481161566188,0.5230747977866486,0.701080315869033
L00008,XAU,SHORT,210,2025-04-15T13:20:03+00:00,13,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,211.0,1.0,213.0,win,4.658204350378128,0.9669933039093138,207,3.327468239680223,4.817204350377779,1.4477085890504917,4817.204350377779,4.817204350377779,4.817204350377779,1.4477085890504917,4817.204350377779,4.817204350377779,1.0,1.0,0.16,0.16,0.033214285374348375,0.033214285374348375,51.66071426871742,0.9357068793095241,0.033214285374348375,0.0,0.4932114913671894,2.8566326275945944,0.4119798930835135,1.3708500096222451,-0.3699509390714797
L00009,XAU,LONG,218,2025-04-15T14:00:03+00:00,14,Londres/NY (overlap),Tuesday,sub1,EXPIRED,False,,,,,,,217,3.888025057590585,6.302833942851521,1.6210888174566953,6302.833942851521,6.302833942851521,6.302833942851521,1.6210888174566953,6302.833942851521,6.302833942851521,1.0,1.0,0.16,0.16,0.025385406223730048,0.025385406223730048,51.269270311186496,0.9504861175716963,0.025385406223730048,-0.5493,0.49485205336206434,3.209136705881949,0.49938721803197766,1.941630017148782,-0.7438223666675652
L00010,XAU,SHORT,230,2025-04-15T15:00:03+00:00,15,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,234.0,4.0,261.0,loss,-5.620114104785898,-1.0293034169120399,223,3.462840734597175,5.460114104786044,1.5767730956362356,5460.114104786044,5.460114104786044,5.460114104786044,1.5767730956362356,5460.114104786044,5.460114104786044,1.0,1.0,0.16,0.16,0.029303416912066466,0.029303416912066466,51.465170845603325,0.9430616542593876,0.029303416912066466,0.0,0.4940194328263466,3.1162720427068975,0.7560152302294267,2.6179603352143204,0.36588457197632784
