alignment_consensus,weekday,direction,n_events
UNAVAILABLE,Monday,SHORT,2
UNAVAILABLE,Tuesday,LONG,2
AGAINST_SINGLE,Sunday,SHORT,4
ALIGNED_CONFIRMED,Wednesday,SHORT,4
UNAVAILABLE,Tuesday,SHORT,6
ALIGNED_SINGLE,Sunday,SHORT,6
ALIGNED_CONFIRMED,Tuesday,SHORT,7
AGAINST_CONFIRMED,Wednesday,LONG,7
AGAINST_SINGLE,Sunday,LONG,8
AGAINST_CONFIRMED,Tuesday,LONG,8
UNAVAILABLE,Wednesday,SHORT,8
ALIGNED_CONFIRMED,Friday,SHORT,10
AGAINST_CONFIRMED,Friday,LONG,13
ALIGNED_SINGLE,Friday,LONG,15
NEUTRAL,Sunday,LONG,15
AGAINST_CONFIRMED,Friday,SHORT,15
NEUTRAL,Sunday,SHORT,16
ALIGNED_CONFIRMED,Friday,LONG,18
AGAINST_CONFIRMED,Thursday,LONG,20
AGAINST_CONFIRMED,Tuesday,SHORT,21
ALIGNED_CONFIRMED,Tuesday,LONG,22
AGAINST_SINGLE,Thursday,LONG,26
ALIGNED_CONFIRMED,Thursday,SHORT,26
ALIGNED_SINGLE,Thursday,SHORT,27
AGAINST_SINGLE,Wednesday,LONG,29
ALIGNED_SINGLE,Friday,SHORT,32
AGAINST_CONFIRMED,Thursday,SHORT,37
ALIGNED_CONFIRMED,Thursday,LONG,39
AGAINST_SINGLE,Friday,LONG,40
AGAINST_SINGLE,Friday,SHORT,40
AGAINST_SINGLE,Monday,LONG,40
ALIGNED_SINGLE,Thursday,LONG,42
AGAINST_CONFIRMED,Wednesday,SHORT,43
AGAINST_SINGLE,Tuesday,LONG,43
ALIGNED_CONFIRMED,Wednesday,LONG,43
ALIGNED_SINGLE,Tuesday,SHORT,45
ALIGNED_SINGLE,Wednesday,SHORT,46
ALIGNED_SINGLE,Monday,SHORT,46
AGAINST_SINGLE,Thursday,SHORT,49
AGAINST_SINGLE,Wednesday,SHORT,50
ALIGNED_SINGLE,Wednesday,LONG,50
AGAINST_SINGLE,Monday,SHORT,54
ALIGNED_SINGLE,Monday,LONG,61
AGAINST_SINGLE,Tuesday,SHORT,68
ALIGNED_SINGLE,Tuesday,LONG,68
NEUTRAL,Thursday,LONG,108
NEUTRAL,Friday,SHORT,108
NEUTRAL,Thursday,SHORT,114
NEUTRAL,Wednesday,SHORT,114
NEUTRAL,Friday,LONG,116
NEUTRAL,Monday,LONG,116
NEUTRAL,Wednesday,LONG,118
NEUTRAL,Tuesday,SHORT,121
NEUTRAL,Tuesday,LONG,122
NEUTRAL,Monday,SHORT,166
