trade_id,direction,momentum_status,roc_atr_3,alignment_status,alignment,structure_status,origin_dist_atr,context_status,weekday,all_available
L00001,SHORT,AVAILABLE,0.9607147511874308,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.1713381095821478,AVAILABLE,Monday,False
L00002,SHORT,AVAILABLE,0.2763443955987913,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.4898648249336126,AVAILABLE,Monday,False
L00003,SHORT,AVAILABLE,1.545367622782584,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.7976694915284046,AVAILABLE,Tuesday,False
L00005,LONG,AVAILABLE,1.448349130844808,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.556277107878863,AVAILABLE,Tuesday,False
L00007,LONG,AVAILABLE,0.2559307035439124,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.717199562937164,AVAILABLE,Tuesday,False
L00008,SHORT,AVAILABLE,1.108951230847576,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.4089240385441029,AVAILABLE,Tuesday,False
L00010,SHORT,AVAILABLE,0.8669182991892995,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.539498947070662,AVAILABLE,Tuesday,False
L00011,SHORT,AVAILABLE,2.327956699818575,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.7310942162642786,AVAILABLE,Tuesday,False
L00012,SHORT,AVAILABLE,2.418782547400491,UNAVAILABLE,UNAVAILABLE,AVAILABLE,2.16252817954447,AVAILABLE,Tuesday,False
L00013,SHORT,AVAILABLE,1.40650608127358,UNAVAILABLE,UNAVAILABLE,AVAILABLE,2.847660198691151,AVAILABLE,Tuesday,False
L00016,SHORT,AVAILABLE,0.6244812363840624,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.298772133175709,AVAILABLE,Wednesday,False
L00018,SHORT,AVAILABLE,0.2771510782182738,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.2704219952078768,AVAILABLE,Wednesday,False
L00019,SHORT,AVAILABLE,0.4334122096720905,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.6802181417876003,AVAILABLE,Wednesday,False
L00022,SHORT,AVAILABLE,0.4077787665080978,UNAVAILABLE,UNAVAILABLE,AVAILABLE,2.10531196230976,AVAILABLE,Wednesday,False
L00023,SHORT,AVAILABLE,0.2194594298224444,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.847668529701444,AVAILABLE,Wednesday,False
L00024,SHORT,AVAILABLE,2.283456790279456,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.691528339192632,AVAILABLE,Wednesday,False
L00025,SHORT,AVAILABLE,0.5331365418312012,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.3915405020087512,AVAILABLE,Wednesday,False
L00026,SHORT,AVAILABLE,0.6122868988010659,UNAVAILABLE,UNAVAILABLE,AVAILABLE,2.6781399920175493,AVAILABLE,Wednesday,False
L00027,LONG,AVAILABLE,0.0543951947455359,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,1.2158642300745506,AVAILABLE,Thursday,True
L00028,LONG,AVAILABLE,1.1594097953961082,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,2.518130065566136,AVAILABLE,Thursday,True
L00029,LONG,AVAILABLE,1.5185732666219736,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,2.1476601032839437,AVAILABLE,Thursday,True
L00031,SHORT,AVAILABLE,0.8926598526102216,AVAILABLE,AGAINST_CONFIRMED,AVAILABLE,1.432819755771331,AVAILABLE,Thursday,True
L00033,SHORT,AVAILABLE,0.5546782971555059,AVAILABLE,AGAINST_CONFIRMED,AVAILABLE,3.092335242057401,AVAILABLE,Thursday,True
L00034,LONG,AVAILABLE,1.8021419075038776,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,2.320288664778384,AVAILABLE,Thursday,True
L00035,SHORT,AVAILABLE,1.0225259776353457,AVAILABLE,AGAINST_SINGLE,AVAILABLE,1.097354972677966,AVAILABLE,Monday,True
L00037,SHORT,AVAILABLE,1.0788053571089675,AVAILABLE,AGAINST_SINGLE,AVAILABLE,1.356685096632682,AVAILABLE,Monday,True
L00040,SHORT,AVAILABLE,0.926482755895771,AVAILABLE,AGAINST_SINGLE,AVAILABLE,1.79421307442389,AVAILABLE,Monday,True
L00041,SHORT,AVAILABLE,2.007755084333955,AVAILABLE,AGAINST_SINGLE,AVAILABLE,2.309310415444551,AVAILABLE,Monday,True
L00044,SHORT,AVAILABLE,0.5747640309977632,AVAILABLE,AGAINST_SINGLE,AVAILABLE,1.9631092852688103,AVAILABLE,Monday,True
L00045,SHORT,AVAILABLE,1.1619027706580811,AVAILABLE,AGAINST_SINGLE,AVAILABLE,1.9978601577016508,AVAILABLE,Monday,True
L00046,LONG,AVAILABLE,2.1728225522133835,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,2.9568146094792893,AVAILABLE,Tuesday,True
L00047,SHORT,AVAILABLE,1.526362565859418,AVAILABLE,AGAINST_SINGLE,AVAILABLE,1.7541127226327493,AVAILABLE,Tuesday,True
L00048,SHORT,AVAILABLE,1.119627488628841,AVAILABLE,AGAINST_SINGLE,AVAILABLE,2.11650156041659,AVAILABLE,Tuesday,True
L00051,SHORT,AVAILABLE,0.6966526217124678,AVAILABLE,AGAINST_SINGLE,AVAILABLE,1.149931206579698,AVAILABLE,Tuesday,True
L00052,SHORT,AVAILABLE,0.3760304142290334,AVAILABLE,AGAINST_SINGLE,AVAILABLE,1.1838706155770795,AVAILABLE,Tuesday,True
L00053,LONG,AVAILABLE,1.5091895478168849,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,2.664675149006789,AVAILABLE,Tuesday,True
L00054,LONG,AVAILABLE,0.9001111537526294,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,2.088150705473029,AVAILABLE,Tuesday,True
L00055,LONG,AVAILABLE,0.3815456466851728,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,2.409328905726124,AVAILABLE,Tuesday,True
L00056,LONG,AVAILABLE,1.351952314833308,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,1.7739996931168245,AVAILABLE,Tuesday,True
L00057,LONG,AVAILABLE,1.5939462840469587,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,2.356772254445884,AVAILABLE,Tuesday,True
L00058,SHORT,AVAILABLE,1.5198145132733771,AVAILABLE,AGAINST_SINGLE,AVAILABLE,2.238179690264776,AVAILABLE,Wednesday,True
L00059,SHORT,AVAILABLE,1.465326361242976,AVAILABLE,AGAINST_SINGLE,AVAILABLE,1.5973605405176938,AVAILABLE,Wednesday,True
L00060,LONG,AVAILABLE,0.7325025631140931,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,2.77540171531847,AVAILABLE,Wednesday,True
L00062,LONG,AVAILABLE,1.7878978849813043,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,2.2290435131067907,AVAILABLE,Wednesday,True
L00063,LONG,AVAILABLE,1.4430253243590618,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,2.27149724660345,AVAILABLE,Wednesday,True
L00064,SHORT,AVAILABLE,2.248781042038676,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,2.418186508070537,AVAILABLE,Thursday,True
L00065,SHORT,AVAILABLE,0.182636135465243,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,1.7565473348072649,AVAILABLE,Thursday,True
L00067,LONG,AVAILABLE,0.8143973184418961,AVAILABLE,AGAINST_SINGLE,AVAILABLE,1.8684015776813423,AVAILABLE,Thursday,True
L00068,SHORT,AVAILABLE,2.8218016729054325,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,2.552404961768584,AVAILABLE,Thursday,True
L00071,LONG,AVAILABLE,1.489237659017384,AVAILABLE,NEUTRAL,AVAILABLE,1.5982451163700533,AVAILABLE,Friday,True
L00072,LONG,AVAILABLE,0.8310273171874101,AVAILABLE,NEUTRAL,AVAILABLE,2.0495032287194457,AVAILABLE,Friday,True
L00073,LONG,AVAILABLE,0.0497648667715069,AVAILABLE,NEUTRAL,AVAILABLE,1.0936394312158464,AVAILABLE,Friday,True
L00075,LONG,AVAILABLE,1.326215970610391,AVAILABLE,NEUTRAL,AVAILABLE,1.959570133637623,AVAILABLE,Friday,True
L00076,LONG,AVAILABLE,1.721318952299331,AVAILABLE,NEUTRAL,AVAILABLE,2.2067074628997894,AVAILABLE,Friday,True
L00077,SHORT,AVAILABLE,3.275851372199956,AVAILABLE,NEUTRAL,AVAILABLE,3.20821309850689,AVAILABLE,Sunday,True
L00078,LONG,AVAILABLE,1.2584289774843975,AVAILABLE,NEUTRAL,AVAILABLE,1.6836076169509082,AVAILABLE,Monday,True
L00079,LONG,AVAILABLE,0.949364520725646,AVAILABLE,NEUTRAL,AVAILABLE,2.042001341896529,AVAILABLE,Monday,True
L00080,SHORT,AVAILABLE,1.3160710694035245,AVAILABLE,NEUTRAL,AVAILABLE,1.5227526621432936,AVAILABLE,Monday,True
L00081,LONG,AVAILABLE,1.3407413317083292,AVAILABLE,NEUTRAL,AVAILABLE,3.240543388805858,AVAILABLE,Monday,True
L00082,SHORT,AVAILABLE,1.5945608645211948,AVAILABLE,NEUTRAL,AVAILABLE,2.0976086048106817,AVAILABLE,Monday,True
L00083,SHORT,AVAILABLE,0.7677528236329031,AVAILABLE,NEUTRAL,AVAILABLE,1.1284492904937242,AVAILABLE,Monday,True
L00084,SHORT,AVAILABLE,0.7239909745532325,AVAILABLE,NEUTRAL,AVAILABLE,0.9984318737652048,AVAILABLE,Monday,True
L00085,SHORT,AVAILABLE,0.3241281694554825,AVAILABLE,NEUTRAL,AVAILABLE,1.1197813814473263,AVAILABLE,Monday,True
L00086,SHORT,AVAILABLE,0.6464801880592838,AVAILABLE,NEUTRAL,AVAILABLE,1.2545561449237506,AVAILABLE,Monday,True
L00087,LONG,AVAILABLE,1.5917727476299453,AVAILABLE,NEUTRAL,AVAILABLE,2.005529353742687,AVAILABLE,Monday,True
L00088,LONG,AVAILABLE,1.132616459229269,AVAILABLE,NEUTRAL,AVAILABLE,2.020152376341884,AVAILABLE,Tuesday,True
L00089,LONG,AVAILABLE,1.12379984262995,AVAILABLE,NEUTRAL,AVAILABLE,1.567464800720892,AVAILABLE,Tuesday,True
L00090,LONG,AVAILABLE,1.080972421965993,AVAILABLE,NEUTRAL,AVAILABLE,1.937676550301469,AVAILABLE,Tuesday,True
L00092,SHORT,AVAILABLE,0.2838195575508668,AVAILABLE,NEUTRAL,AVAILABLE,0.970978186673522,AVAILABLE,Tuesday,True
L00093,LONG,AVAILABLE,0.396803873726218,AVAILABLE,NEUTRAL,AVAILABLE,2.620838368439914,AVAILABLE,Tuesday,True
L00095,LONG,AVAILABLE,0.9639834788612476,AVAILABLE,NEUTRAL,AVAILABLE,1.799075356801242,AVAILABLE,Tuesday,True
L00096,SHORT,AVAILABLE,1.012672954099159,AVAILABLE,NEUTRAL,AVAILABLE,1.833414916343368,AVAILABLE,Tuesday,True
