trade_id,limit_created_bar,limit_created_time_utc,direction,momentum_status,roc_atr_3,alignment_status,alignment,structure_status,origin_dist_atr,context_status,weekday,all_available
L00000,1,2025-04-14 18:55:03,LONG,UNAVAILABLE,,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,,AVAILABLE,Monday,False
L00001,17,2025-04-14 20:15:03,SHORT,AVAILABLE,0.9607147511874308,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.1713381095821478,AVAILABLE,Monday,False
L00002,35,2025-04-14 22:45:03,SHORT,AVAILABLE,0.2763443955987913,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.4898648249336126,AVAILABLE,Monday,False
L00003,76,2025-04-15 02:10:03,SHORT,AVAILABLE,1.545367622782584,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.7976694915284046,AVAILABLE,Tuesday,False
L00004,112,2025-04-15 05:10:03,SHORT,AVAILABLE,1.9749170183942,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.6807621421886056,AVAILABLE,Tuesday,False
L00005,194,2025-04-15 12:00:03,LONG,AVAILABLE,1.448349130844808,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.556277107878863,AVAILABLE,Tuesday,False
L00006,198,2025-04-15 12:20:03,SHORT,AVAILABLE,1.1142492721582309,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.9509909201531352,AVAILABLE,Tuesday,False
L00007,202,2025-04-15 12:40:03,LONG,AVAILABLE,0.2559307035439124,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.717199562937164,AVAILABLE,Tuesday,False
L00008,210,2025-04-15 13:20:03,SHORT,AVAILABLE,1.108951230847576,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.4089240385441029,AVAILABLE,Tuesday,False
L00009,218,2025-04-15 14:00:03,LONG,AVAILABLE,0.6658907701598891,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.5880478884252536,AVAILABLE,Tuesday,False
L00010,230,2025-04-15 15:00:03,SHORT,AVAILABLE,0.8669182991892995,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.539498947070662,AVAILABLE,Tuesday,False
L00011,282,2025-04-15 19:20:03,SHORT,AVAILABLE,2.327956699818575,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.7310942162642786,AVAILABLE,Tuesday,False
L00012,293,2025-04-15 20:15:03,SHORT,AVAILABLE,2.418782547400491,UNAVAILABLE,UNAVAILABLE,AVAILABLE,2.16252817954447,AVAILABLE,Tuesday,False
L00013,324,2025-04-15 23:50:03,SHORT,AVAILABLE,1.40650608127358,UNAVAILABLE,UNAVAILABLE,AVAILABLE,2.847660198691151,AVAILABLE,Tuesday,False
L00014,325,2025-04-15 23:55:03,LONG,AVAILABLE,2.5835391292261214,UNAVAILABLE,UNAVAILABLE,AVAILABLE,4.37785873497273,AVAILABLE,Tuesday,False
L00015,343,2025-04-16 01:25:03,SHORT,AVAILABLE,1.0090711730352622,UNAVAILABLE,UNAVAILABLE,AVAILABLE,2.042185946184904,AVAILABLE,Wednesday,False
L00016,358,2025-04-16 02:40:03,SHORT,AVAILABLE,0.6244812363840624,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.298772133175709,AVAILABLE,Wednesday,False
L00017,378,2025-04-16 04:20:03,SHORT,AVAILABLE,1.6605897014182958,UNAVAILABLE,UNAVAILABLE,AVAILABLE,2.1241658480415087,AVAILABLE,Wednesday,False
L00018,398,2025-04-16 06:00:03,SHORT,AVAILABLE,0.2771510782182738,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.2704219952078768,AVAILABLE,Wednesday,False
L00019,406,2025-04-16 06:40:03,SHORT,AVAILABLE,0.4334122096720905,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.6802181417876003,AVAILABLE,Wednesday,False
L00020,427,2025-04-16 08:25:03,SHORT,AVAILABLE,1.895608184214008,UNAVAILABLE,UNAVAILABLE,AVAILABLE,2.7618970825741327,AVAILABLE,Wednesday,False
L00021,466,2025-04-16 11:40:03,LONG,AVAILABLE,1.945260951285151,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.7401101686663132,AVAILABLE,Wednesday,False
L00022,477,2025-04-16 12:35:03,SHORT,AVAILABLE,0.4077787665080978,UNAVAILABLE,UNAVAILABLE,AVAILABLE,2.10531196230976,AVAILABLE,Wednesday,False
L00023,500,2025-04-16 14:30:03,SHORT,AVAILABLE,0.2194594298224444,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.847668529701444,AVAILABLE,Wednesday,False
L00024,526,2025-04-16 16:40:03,SHORT,AVAILABLE,2.283456790279456,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.691528339192632,AVAILABLE,Wednesday,False
L00025,562,2025-04-16 19:40:03,SHORT,AVAILABLE,0.5331365418312012,UNAVAILABLE,UNAVAILABLE,AVAILABLE,1.3915405020087512,AVAILABLE,Wednesday,False
L00026,591,2025-04-16 23:05:03,SHORT,AVAILABLE,0.6122868988010659,UNAVAILABLE,UNAVAILABLE,AVAILABLE,2.6781399920175493,AVAILABLE,Wednesday,False
L00027,614,2025-04-17 01:00:03,LONG,AVAILABLE,0.0543951947455359,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,1.2158642300745506,AVAILABLE,Thursday,True
L00028,629,2025-04-17 02:15:03,LONG,AVAILABLE,1.1594097953961082,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,2.518130065566136,AVAILABLE,Thursday,True
