trade_id,b,direction,momentum_status,roc_atr_3_new,alignment_status,alignment_new,structure_status,origin_dist_atr_new,context_status,weekday_new,structure_replay_matches_signal
L00000,1,LONG,UNAVAILABLE,,UNAVAILABLE,,UNAVAILABLE,,AVAILABLE,Monday,True
L00001,17,SHORT,AVAILABLE,0.9607147511874307,UNAVAILABLE,,AVAILABLE,1.1713381095821478,AVAILABLE,Monday,True
L00002,35,SHORT,AVAILABLE,0.2763443955987913,UNAVAILABLE,,AVAILABLE,1.4898648249336126,AVAILABLE,Monday,True
L00003,76,SHORT,AVAILABLE,1.545367622782584,UNAVAILABLE,,AVAILABLE,1.7976694915284046,AVAILABLE,Tuesday,True
L00004,112,SHORT,AVAILABLE,1.9749170183941998,UNAVAILABLE,,AVAILABLE,1.6807621421886056,AVAILABLE,Tuesday,True
L00005,194,LONG,AVAILABLE,1.448349130844808,UNAVAILABLE,,AVAILABLE,1.556277107878863,AVAILABLE,Tuesday,True
L00006,198,SHORT,AVAILABLE,1.1142492721582309,UNAVAILABLE,,AVAILABLE,1.9509909201531352,AVAILABLE,Tuesday,True
L00007,202,LONG,AVAILABLE,0.25593070354391245,UNAVAILABLE,,AVAILABLE,1.717199562937164,AVAILABLE,Tuesday,True
L00008,210,SHORT,AVAILABLE,1.108951230847576,UNAVAILABLE,,AVAILABLE,1.4089240385441029,AVAILABLE,Tuesday,True
L00009,218,LONG,AVAILABLE,0.6658907701598891,UNAVAILABLE,,AVAILABLE,1.5880478884252536,AVAILABLE,Tuesday,True
L00010,230,SHORT,AVAILABLE,0.8669182991892995,UNAVAILABLE,,AVAILABLE,1.539498947070662,AVAILABLE,Tuesday,True
L00011,282,SHORT,AVAILABLE,2.327956699818575,UNAVAILABLE,,AVAILABLE,1.7310942162642786,AVAILABLE,Tuesday,True
L00012,293,SHORT,AVAILABLE,2.418782547400491,UNAVAILABLE,,AVAILABLE,2.16252817954447,AVAILABLE,Tuesday,True
L00013,324,SHORT,AVAILABLE,1.40650608127358,UNAVAILABLE,,AVAILABLE,2.847660198691151,AVAILABLE,Tuesday,True
L00014,325,LONG,AVAILABLE,2.5835391292261214,UNAVAILABLE,,AVAILABLE,4.37785873497273,AVAILABLE,Tuesday,True
L00015,343,SHORT,AVAILABLE,1.0090711730352622,UNAVAILABLE,,AVAILABLE,2.042185946184904,AVAILABLE,Wednesday,True
L00016,358,SHORT,AVAILABLE,0.6244812363840624,UNAVAILABLE,,AVAILABLE,1.298772133175709,AVAILABLE,Wednesday,True
L00017,378,SHORT,AVAILABLE,1.6605897014182958,UNAVAILABLE,,AVAILABLE,2.1241658480415087,AVAILABLE,Wednesday,True
L00018,398,SHORT,AVAILABLE,0.27715107821827384,UNAVAILABLE,,AVAILABLE,1.2704219952078768,AVAILABLE,Wednesday,True
L00019,406,SHORT,AVAILABLE,0.4334122096720905,UNAVAILABLE,,AVAILABLE,1.6802181417876003,AVAILABLE,Wednesday,True
