section,metric,value
general,limits_total,4.0
general,filled,3.0
general,non_filled,1.0
general,closed,3.0
general,long,3.0
general,short,1.0
momentum,available,4.0
momentum,unavailable,0.0
momentum,observed_min,0.11478901895250943
momentum,observed_max,2.358533758624376
structure,available,4.0
structure,unavailable,0.0
structure,observed_min,1.1631807850160236
structure,observed_max,2.050940561980115
structure,replay_match,0.0
structure,replay_mismatch,0.0
alignment,state_AGAINST_CONFIRMED,0.0
alignment,state_AGAINST_SINGLE,0.0
alignment,state_NEUTRAL,4.0
alignment,state_ALIGNED_SINGLE,0.0
alignment,state_ALIGNED_CONFIRMED,0.0
alignment,state_UNAVAILABLE,0.0
context,weekday_Monday,0.0
context,weekday_Tuesday,4.0
context,weekday_Wednesday,0.0
context,weekday_Thursday,0.0
context,weekday_Friday,0.0
context,weekday_Saturday,0.0
context,weekday_Sunday,0.0
