category,trade_id,bar,time_utc,direction,close,tv22_day_first_bar,tv22_day_first_time,daily_open_TV22,D_state_TV22,daily_open_UTC00,D_state_UTC00,daily_open_NY18,D_state_NY18,htf_block_start,new_htf_block,res_src,sup_src,pivot_1,pivot_2,pivot_3,hch_active_level,hch_form_bar,HCH_state,m15_bucket_start,ema200_m15_prev,ema200_m15_smooth,ema50,ema200,max_input_bar
utc_day_transition,L00070,1978,2025-04-25 00:05:03,LONG,3354.362,1957,2025-04-24 22:20:03,3353.176,ALIGNED,3348.951,ALIGNED,3353.176,ALIGNED,2025-04-24 22:00:00,False,3370.789,3346.946,3346.946,3347.281,3349.632,3352.716,1958.0,NO_HCH,2025-04-25 00:00:00,3340.386777283689,3340.5258342261395,3349.129771026076,3337.0185423931794,1978
utc_day_transition,L00078,2252,2025-04-28 00:00:03,LONG,3308.068,2229,2025-04-27 22:05:03,3325.64,AGAINST,3302.791,ALIGNED,3325.64,AGAINST,2025-04-27 22:00:00,False,3330.273,3298.606,3298.606,3299.261,3300.242,3320.909,2230.0,NO_HCH,2025-04-28 00:00:00,3318.4484763102173,3318.3451879887225,3305.736086409082,3302.856256604306,2252
utc_day_transition,L00130,3631,2025-05-05 00:00:03,SHORT,3246.476,3608,2025-05-04 22:05:03,3238.49,AGAINST,3247.969,ALIGNED,3238.49,AGAINST,2025-05-04 22:00:00,False,3252.3,3237.49,3252.3,3251.298,3249.897,3241.48,3609.0,NO_HCH,2025-05-05 00:00:00,3251.2064697327673,3251.1594003821924,3240.9726261940837,3242.8250239947724,3631
utc_day_transition,L00202,5838,2025-05-15 00:00:03,SHORT,3182.339,5814,2025-05-14 22:00:03,3179.701,AGAINST,3185.934,ALIGNED,3179.701,AGAINST,2025-05-14 22:00:00,False,3187.312,3179.506,3187.312,3186.956,3185.891,,5699.0,NO_HCH,2025-05-15 00:00:00,3226.086710588058,3225.6514099851915,3182.4966195438983,3197.17184820769,5838
utc_day_transition,L00222,6389,2025-05-19 00:00:03,LONG,3236.433,6366,2025-05-18 22:05:03,3214.226,ALIGNED,3234.947,ALIGNED,3214.226,ALIGNED,2025-05-18 22:00:00,False,3245.26,3211.644,3211.644,3154.289,3154.699,3211.644,6367.0,HCH,2025-05-19 00:00:00,3204.3288919478578,3204.648335809073,3219.664271191161,3202.851506911917,6389
utc_day_transition,L00230,6665,2025-05-20 00:00:03,LONG,3223.891,6641,2025-05-19 22:00:03,3229.311,AGAINST,3222.561,ALIGNED,3229.311,AGAINST,2025-05-19 22:00:00,False,3230.416,3219.097,3219.097,3219.426,3220.877,3227.41,6642.0,NO_HCH,2025-05-20 00:00:00,3220.3322371013387,3220.367647677445,3226.9418860891033,3228.6017841341595,6665
utc_day_transition,L00271,8011,2025-05-27 00:05:03,LONG,3347.342,7987,2025-05-26 22:05:03,3346.458,ALIGNED,3346.182,ALIGNED,3346.458,ALIGNED,2025-05-26 22:00:00,False,3348.862,3342.829,3342.829,3326.35,3326.44,3342.829,7988.0,HCH,2025-05-27 00:00:00,3332.7221913137296,3332.8676620469264,3344.073914393904,3340.71884479109,8011
utc_day_transition,L00364,10768,2025-06-10 00:00:03,SHORT,3321.44,10744,2025-06-09 22:00:03,3325.892,ALIGNED,3326.809,ALIGNED,3325.892,ALIGNED,2025-06-09 22:00:00,False,3327.944,3321.44,3327.944,3327.727,3326.928,3325.892,10745.0,NO_HCH,2025-06-10 00:00:00,3333.156292925306,3333.0397128961986,3326.729749960058,3325.4867734672057,10768
utc_day_transition,L00454,14033,2025-06-26 00:00:03,SHORT,3335.183,14009,2025-06-25 22:00:03,3335.125,AGAINST,3338.987,ALIGNED,3335.125,AGAINST,2025-06-25 22:00:00,False,3340.158,3331.266,3340.158,3339.841,3338.23,,14010.0,NO_HCH,2025-06-26 00:00:00,3334.0491432218196,3334.0604253788165,3334.106839509394,3329.5371555090173,14033
utc_day_transition,L00494,15137,2025-07-02 00:05:03,LONG,3342.536,15112,2025-07-01 22:00:03,3337.692,ALIGNED,3338.186,ALIGNED,3337.692,ALIGNED,2025-07-01 22:00:00,False,3343.826,3334.578,3334.578,3336.814,3336.88,3337.584,15113.0,NO_HCH,2025-07-02 00:00:00,3321.1333558678375,3321.3463175009933,3339.645408119939,3337.122868985747,15137
