filter,retained,skipped,WR,PF,ExpR,pnl_retained,maxDD_pnl_usd,maxDD_pnl_r,longest_losing_streak,skipped_wins,skipped_losses,skipped_timeouts,pnl_removed,r_removed,dWR,dPF,dExpR
NONE (baseline),2474,0,0.4931285367825384,0.8991090418756048,-0.04624744397954403,-1378.0452872648602,1668.0790532154056,140.83602836668413,10,,,,,,,,
D_TV22,674,1800,0.4821958456973294,0.7534914293181793,-0.06905570666052241,-987.2837880842669,1170.2264208096567,78.99674600735999,16,895.0,903.0,2.0,-390.7614991805933,-67.8726301161998,-0.010932691085209001,-0.14561761255742556,-0.02280826268097838
D_UTC00,707,1767,0.48514851485148514,0.8079241207985175,-0.0649194839220877,-768.6778319779631,968.4550210269782,68.81318765094309,9,877.0,888.0,2.0,-609.367455286897,-68.51810127247589,-0.007980021931053238,-0.09118492107708731,-0.01867203994254367
D_NY18,674,1800,0.4821958456973294,0.7534914293181793,-0.06905570666052241,-987.2837880842669,1170.2264208096567,78.99674600735999,16,895.0,903.0,2.0,-390.7614991805933,-67.8726301161998,-0.010932691085209001,-0.14561761255742556,-0.02280826268097838
HCH,161,2313,0.5403726708074534,0.9220576652645724,0.025069896833266703,-49.757819058569936,164.02066910736943,13.7841813824571,7,1133.0,1177.0,3.0,-1328.2874682062902,-118.45242979554783,0.04724413402491506,0.022948623388967637,0.07131734081281073
D_or_HCH,739,1735,0.4912043301759134,0.7877468115432982,-0.053171425854904836,-879.9694540214132,1069.5291478426693,71.98851491166654,14,857.0,876.0,2.0,-498.075833243447,-75.12249269861724,-0.0019242066066249564,-0.11136223033230663,-0.006923981875360807
DHCH,96,2378,0.5104166666666666,0.6843491199842306,-0.033475095752724025,-157.0721531214236,181.15302399559798,11.271442562421171,6,1171.0,1204.0,3.0,-1220.9731341434363,-111.20256721313038,0.017288129884128256,-0.21475992189137416,0.012772348226820003
E1_px_ema50,428,2046,0.4929906542056075,0.8247080803256202,-0.05478858797202001,-375.67390821026936,414.1440848634884,30.60717375589766,7,1009.0,1035.0,2.0,-1002.3713790545908,-90.96666075336736,-0.00013788257693087003,-0.07440096154998466,-0.008541143992475984
E2_px_ema200,613,1861,0.4828711256117455,0.7710458761690003,-0.07198655917046516,-736.2209454858768,833.1689561593882,61.557455241161584,10,924.0,935.0,2.0,-641.8243417789832,-70.28841563389678,-0.010257411170792874,-0.12806316570660448,-0.025739115190921133
E3_px_ema200m15,852,1622,0.505868544600939,0.884429868494188,-0.024448300658658606,-508.35251278561816,671.9861915478417,41.97313103389728,6,789.0,831.0,2.0,-869.692774479242,-93.58622424421478,0.012740007818400623,-0.014679173381416777,0.021799143320885422
E4_ema50_vs_ema200,798,1676,0.47117794486215536,0.7623474878872339,-0.09334594934336637,-1040.7289991893697,1122.9951532994507,90.95065789681601,10,844.0,830.0,2.0,-337.3162880754902,-39.92610882938553,-0.02195059192038301,-0.13676155398837087,-0.047098505363822346
E5_px_all3,252,2222,0.49603174603174605,0.8151359453382512,-0.0452205321442764,-237.58109512846568,261.63013140055745,19.33289371503903,13,1095.0,1125.0,2.0,-1140.4641921363943,-103.02060230503426,0.002903209249207672,-0.08397309653735363,0.0010269118352676312
