ticket,signal_time_utc,direction,fill_time_utc,close_reason,pnl_net,matched,bar_time_server,close_at_signal,daily_open_TV22,D_state_TV22,D_state_UTC00,D_state_NY18,HCH_state,combo_state,pine_label,E1_px_ema50,E2_px_ema200,E3_px_ema200m15
350047654,2026-09-22 02:25:01+00:00,LONG,2026-09-22T02:42:26+00:00,SL,-95.3,True,2026-09-22 02:25:00,4351.178,4347.611,ALIGNED,AGAINST,ALIGNED,NO_HCH,D_ONLY,D✓,AGAINST,AGAINST,AGAINST
350112097,2026-09-22 03:25:01+00:00,LONG,2026-09-22T03:30:30+00:00,SL,-60.5,True,2026-09-22 03:25:00,4345.885,4347.611,AGAINST,AGAINST,AGAINST,NO_HCH,NEITHER,(normal),AGAINST,AGAINST,AGAINST
350160945,2026-09-22 04:35:01+00:00,LONG,2026-09-22T04:41:12+00:00,TP,49.7,True,2026-09-22 04:35:00,4341.002,4347.611,AGAINST,AGAINST,AGAINST,NO_HCH,NEITHER,(normal),AGAINST,AGAINST,AGAINST
351122611,2026-09-22 18:40:01+00:00,SHORT,2026-09-22T18:45:10+00:00,SL,-98.2,True,2026-09-22 18:40:00,4350.199,4347.611,AGAINST,ALIGNED,AGAINST,NO_HCH,NEITHER,(normal),AGAINST,AGAINST,AGAINST
351182401,2026-09-22 20:00:01+00:00,SHORT,2026-09-22T20:08:35+00:00,TP,82.3,True,2026-09-22 20:00:00,4362.728,4347.611,AGAINST,ALIGNED,AGAINST,NO_HCH,NEITHER,(normal),AGAINST,AGAINST,AGAINST
351437683,2026-09-23 03:10:01+00:00,LONG,2026-09-23T03:18:13+00:00,TP,42.3,True,2026-09-23 03:10:00,4338.735,4359.901,AGAINST,AGAINST,AGAINST,NO_HCH,NEITHER,(normal),AGAINST,AGAINST,AGAINST
352201482,2026-09-23 18:45:03+00:00,LONG,2026-09-23T19:13:18+00:00,TP,124.8,True,2026-09-23 18:45:00,4286.965,4359.901,AGAINST,AGAINST,AGAINST,NO_HCH,NEITHER,(normal),AGAINST,AGAINST,AGAINST
352485477,2026-09-24 02:20:03+00:00,LONG,2026-09-24T02:25:43+00:00,MOBILE,9.9,True,2026-09-24 02:20:00,4285.238,4290.216,AGAINST,AGAINST,AGAINST,NO_HCH,NEITHER,(normal),AGAINST,AGAINST,AGAINST
353017204,2026-09-24 13:30:01+00:00,SHORT,2026-09-24T13:39:09+00:00,TP,97.8,True,2026-09-24 13:30:00,4273.036,4290.216,ALIGNED,ALIGNED,ALIGNED,NO_HCH,D_ONLY,D✓,AGAINST,ALIGNED,ALIGNED
353198328,2026-09-24 15:40:01+00:00,LONG,2026-09-24T15:46:23+00:00,,,True,2026-09-24 15:40:00,4255.043,4290.216,AGAINST,AGAINST,AGAINST,NO_HCH,NEITHER,(normal),AGAINST,AGAINST,AGAINST
