candidate,raw_dExpR,r_pb_roc_atr_3,r_pb_origin_dist_atr,cramers_v_alignment6,cramers_v_weekday,strat_dExpR_roc_t,strat_dExpR_align6,strat_dExpR_origin_t,strat_dExpR_weekday,stratum,D_aligned,N,WR,ExpR,N_LONG,ExpR_LONG,N_SHORT,ExpR_SHORT
D_TV22,-0.031348689929300295,-0.059919892515141716,0.02433735626129687,0.05146889440653113,0.09201400064131393,-0.02294342539835377,-0.033337823124886125,-0.0305147669429662,-0.03615437522624953,,,,,,,,,
HCH,0.0762814963990029,-0.14846849092438313,-0.10940617775148798,0.041654846475316296,0.10789574359987839,0.1080235832325834,0.0817751452660377,0.07846045802214086,0.061919903247969296,,,,,,,,,
DHCH,0.0132879686766832,-0.08964506403418804,-0.026725318912099356,0.032374126774707586,0.12131606860983611,0.03643452960630338,0.020005493882598136,0.017316691290310028,-0.0051628403410310855,,,,,,,,,
E1_px_ema50,-0.013889392871346502,-0.06216821103797104,-0.05467396898218571,0.04947247065995575,0.05495478818711801,-0.007086063483476831,-0.021969551680539955,-0.018514158970820673,-0.01700073788753559,,,,,,,,,
E2_px_ema200,-0.03831154810607042,-0.07827907251260108,-0.05929683729703651,0.12187487007270789,0.024426752278134505,-0.03091276828099487,-0.05384700446302338,-0.04089023360051395,-0.04023497447479924,,,,,,,,,
E3_px_ema200m15,0.02911639077039877,-0.0604860653417845,-0.033987504284487574,0.4223490287023437,0.040474298461322424,0.03572618034485617,-0.020844858339715857,0.026609462104618262,0.027049241374915427,,,,,,,,,
E4_ema50_vs_ema200,-0.07447610990939998,-0.07038985619982673,-0.04859532210462968,0.152702522870299,0.018516694230388982,-0.06681793330463136,-0.09377253633487041,-0.07703863449048919,-0.07612336054098917,,,,,,,,,
E5_px_all3,-0.0020898649783692574,-0.03476951559717803,-0.02420960151853488,0.14667303774855395,0.039709394292313446,0.0025365218545945973,-0.02836754000122721,-0.0056525456032257134,-0.0038023398930414976,,,,,,,,,
D_TV22_x_alignment6,,,,,,,,,,AGAINST_CONFIRMED,False,120.0,0.5083333333333333,-0.011605287452726753,31.0,-0.20122028200043085,89.0,0.05444038480546234
D_TV22_x_alignment6,,,,,,,,,,AGAINST_CONFIRMED,True,44.0,0.36363636363636365,-0.3013750317327498,17.0,-0.9090789374172829,27.0,0.08125335332788201
D_TV22_x_alignment6,,,,,,,,,,AGAINST_SINGLE,False,327.0,0.43119266055045874,-0.16984419279460417,126.0,-0.22515603675597767,201.0,-0.13517109658001183
D_TV22_x_alignment6,,,,,,,,,,AGAINST_SINGLE,True,124.0,0.43548387096774194,-0.15563456075137364,60.0,-0.037539375950127775,64.0,-0.2663487965025416
D_TV22_x_alignment6,,,,,,,,,,ALIGNED_CONFIRMED,False,120.0,0.5916666666666667,0.15174613738101955,82.0,0.06347923556210619,38.0,0.34221682025341155
D_TV22_x_alignment6,,,,,,,,,,ALIGNED_CONFIRMED,True,49.0,0.5306122448979592,0.03378174802977133,40.0,0.021927984787812216,9.0,0.08646514021625637
D_TV22_x_alignment6,,,,,,,,,,ALIGNED_SINGLE,False,303.0,0.5247524752475248,0.01894579119142224,158.0,-0.06826290716227955,145.0,0.11397320043200755
D_TV22_x_alignment6,,,,,,,,,,ALIGNED_SINGLE,True,135.0,0.42962962962962964,-0.17189984228172905,78.0,-0.11006665037959742,57.0,-0.25651368383201445
D_TV22_x_alignment6,,,,,,,,,,NEUTRAL,False,914.0,0.5021881838074398,-0.028840408877988857,429.0,-0.06818999352430187,485.0,0.005965718572048866
D_TV22_x_alignment6,,,,,,,,,,NEUTRAL,True,320.0,0.528125,0.01761493844118186,166.0,-0.1586172439060061,154.0,0.20757949863360528
D_TV22_x_alignment6,,,,,,,,,,UNAVAILABLE,False,16.0,0.25,-0.5331826300174054,0.0,,16.0,-0.5331826300174054
D_TV22_x_alignment6,,,,,,,,,,UNAVAILABLE,True,2.0,1.0,0.9650166968078202,2.0,0.9650166968078202,0.0,
