candidate,partition,bucket,N_flag,N_other,ExpR_flag,ExpR_other,dExpR,boot_lo,boot_hi
D_TV22,ALL,ALL,674,1800,-0.06905570666052241,-0.037707016731222114,-0.031348689929300295,-0.12068883710690369,0.055230314697537676
D_TV22,direction,LONG,363,826,-0.13723199153162247,-0.08406929613890982,-0.05316269539271265,,
D_TV22,direction,SHORT,311,974,0.010519828414105592,0.0016104810005541316,0.00890934741355146,,
D_TV22,sub_periodo,sub1,244,587,-0.13388764368267525,-0.08365788567577652,-0.05022975800689873,,
D_TV22,sub_periodo,sub2,208,561,-0.08365380598844144,0.06507386577813096,-0.1487276717665724,,
D_TV22,sub_periodo,sub3,222,652,0.015878515382776893,-0.08477283730989331,0.1006513526926702,,
D_TV22,month,2025-04,17,66,0.5010655935897501,-0.2724074782937037,0.7734730718834538,,
D_TV22,month,2025-05,51,95,-0.247119789054207,-0.2529151302797732,0.005795341225566186,,
D_TV22,month,2025-06,34,96,-0.2719067361204638,0.0265476172969267,-0.29845435341739046,,
D_TV22,month,2025-07,41,111,-0.12177398431709589,-0.05806675824529531,-0.06370722607180059,,
D_TV22,month,2025-08,42,103,-0.019411584807460962,-0.06541400657827551,0.046002421770814546,,
D_TV22,month,2025-09,52,110,-0.19816804743983504,0.015423271244957326,-0.21359131868479236,,
D_TV22,month,2025-10,44,115,0.02639235500163617,0.16137263022939127,-0.1349802752277551,,
D_TV22,month,2025-11,34,90,0.012375801316663392,0.041799125808537,-0.02942332449187361,,
D_TV22,month,2025-12,40,110,-0.18326056914851874,0.10120208939345447,-0.2844626585419732,,
D_TV22,month,2026-01,40,105,0.08281551742741475,-0.10798246831393478,0.19079798574134954,,
D_TV22,month,2026-02,22,75,-0.10997502464610397,0.2783126673885079,-0.3882876920346119,,
D_TV22,month,2026-03,44,93,-0.3859877107484724,-0.04311822562674639,-0.342869485121726,,
D_TV22,month,2026-04,39,101,-0.05655564598122242,-0.005273509584231748,-0.05128213639699067,,
D_TV22,month,2026-05,39,122,-0.16517074545648697,-0.28001554809568013,0.11484480263919317,,
D_TV22,month,2026-06,54,129,-0.0035346176038318355,-0.10079552023698209,0.09726090263315025,,
D_TV22,month,2026-07,32,120,0.0807348043374851,-0.153531415114555,0.23426621945204013,,
D_TV22,month,2026-08,38,120,0.2739003482832296,0.0801259548175923,0.19377439346563732,,
D_TV22,month,2026-09,11,39,0.05310708524510859,0.015374916017275574,0.03773216922783302,,
D_TV22,weekday,Friday,92,315,-0.14725671260560058,-0.15864348947674356,0.011386776871142978,,
D_TV22,weekday,Monday,136,349,0.06454520799600258,0.004948260323037968,0.05959694767296461,,
D_TV22,weekday,Sunday,25,24,-0.15283061220038482,0.125308723428321,-0.27813933562870585,,
D_TV22,weekday,Thursday,126,362,-0.03445624955221575,0.026957825050019674,-0.06141407460223542,,
D_TV22,weekday,Tuesday,142,391,-0.15208531402916117,-0.03856806857807318,-0.11351724545108799,,
D_TV22,weekday,Wednesday,153,359,-0.07853405017126486,-0.04822535097528146,-0.030308699195983398,,
D_TV22,atr_regime,Compression,240,559,-0.03614358934627303,-0.05083780685804427,0.014694217511771239,,
D_TV22,atr_regime,Expansion,234,621,-0.1271690776262229,-0.023530120184481636,-0.10363895744174126,,
D_TV22,atr_regime,Normal,200,617,-0.04055760340775214,-0.0384047271750223,-0.0021528762327298404,,
D_UTC00,ALL,ALL,707,1767,-0.0649194839220877,-0.03877651458544193,-0.02614296933664577,-0.11254831458969455,0.05796355831123059
D_UTC00,direction,LONG,379,810,-0.16395359093251255,-0.07051609947320518,-0.09343749145930737,,
D_UTC00,direction,SHORT,328,957,0.0495132189954459,-0.011912289131849213,0.06142550812729511,,
D_UTC00,sub_periodo,sub1,233,598,-0.1105907243053815,-0.09365907221923027,-0.01693165208615123,,
D_UTC00,sub_periodo,sub2,230,539,-0.08817420141953641,0.07307330868725236,-0.16124751010678878,,
D_UTC00,sub_periodo,sub3,244,630,0.0006132375275871039,-0.08237538010762734,0.08298861763521444,,
D_UTC00,month,2025-04,14,69,0.5417323107035045,-0.2470294322638805,0.788761742967385,,
D_UTC00,month,2025-05,53,93,-0.4349043556649218,-0.1460227501946468,-0.28888160547027497,,
D_UTC00,month,2025-06,33,97,-0.06906428609475415,-0.0455374879016899,-0.023526798193064254,,
D_UTC00,month,2025-07,35,117,-0.023649204023259974,-0.09068736223431291,0.06703815821105294,,
D_UTC00,month,2025-08,42,103,-0.060911809632996985,-0.04849158480475592,-0.012420224828241067,,
D_UTC00,month,2025-09,52,110,-0.047995064403735244,-0.05556759346301712,0.0075725290592818795,,
D_UTC00,month,2025-10,45,114,-0.0884474075781002,0.20788815296023244,-0.29633556053833265,,
D_UTC00,month,2025-11,45,79,-0.06440319259067001,0.08963091435588652,-0.15403410694655653,,
D_UTC00,month,2025-12,39,111,-0.15711510775587237,0.08945311954791228,-0.24656822730378464,,
D_UTC00,month,2026-01,47,98,-0.04356317372459895,-0.061000707253167474,0.017437533528568527,,
D_UTC00,month,2026-02,26,71,-0.021205746841242316,0.26768097084219866,-0.288886717683441,,
D_UTC00,month,2026-03,40,97,-0.07496339689935791,-0.18551462247676165,0.11055122557740374,,
D_UTC00,month,2026-04,38,102,-0.14782811375389454,0.028227192758557954,-0.1760553065124525,,
D_UTC00,month,2026-05,40,121,-0.18988198122776972,-0.2727956751352494,0.08291369390747966,,
D_UTC00,month,2026-06,64,119,0.053304594777465256,-0.1395376935036587,0.19284228828112393,,
D_UTC00,month,2026-07,30,122,-0.11803674830497876,-0.10081273463768622,-0.017224013667292537,,
D_UTC00,month,2026-08,50,108,0.2043057988661477,0.09081516545894824,0.11349063340719945,,
D_UTC00,month,2026-09,14,36,-0.03866621544169209,0.04792018551537863,-0.08658640095707072,,
D_UTC00,weekday,Friday,99,308,-0.12964596722028737,-0.1645628765911722,0.03491690937088482,,
D_UTC00,weekday,Monday,146,339,0.0868615541534045,-0.006420931463718145,0.09328248561712266,,
D_UTC00,weekday,Sunday,25,24,-0.15283061220038482,0.125308723428321,-0.27813933562870585,,
D_UTC00,weekday,Thursday,146,342,-0.0659895326078565,0.04401086837799704,-0.11000040098585354,,
D_UTC00,weekday,Tuesday,149,384,-0.09125398908141155,-0.060102565190201,-0.031151423891210554,,
D_UTC00,weekday,Wednesday,142,370,-0.1316396468001242,-0.02874535359651872,-0.10289429320360546,,
D_UTC00,atr_regime,Compression,273,526,-0.057525551871592286,-0.04066220497301821,-0.016863346898574078,,
D_UTC00,atr_regime,Expansion,235,620,-0.054504281915629366,-0.050905262175687686,-0.0035990197399416793,,
D_UTC00,atr_regime,Normal,199,618,-0.08736227749647452,-0.023336802794078907,-0.06402547470239561,,
D_NY18,ALL,ALL,674,1800,-0.06905570666052241,-0.037707016731222114,-0.031348689929300295,-0.12068883710690369,0.055230314697537676
D_NY18,direction,LONG,363,826,-0.13723199153162247,-0.08406929613890982,-0.05316269539271265,,
D_NY18,direction,SHORT,311,974,0.010519828414105592,0.0016104810005541316,0.00890934741355146,,
D_NY18,sub_periodo,sub1,244,587,-0.13388764368267525,-0.08365788567577652,-0.05022975800689873,,
D_NY18,sub_periodo,sub2,208,561,-0.08365380598844144,0.06507386577813096,-0.1487276717665724,,
D_NY18,sub_periodo,sub3,222,652,0.015878515382776893,-0.08477283730989331,0.1006513526926702,,
D_NY18,month,2025-04,17,66,0.5010655935897501,-0.2724074782937037,0.7734730718834538,,
D_NY18,month,2025-05,51,95,-0.247119789054207,-0.2529151302797732,0.005795341225566186,,
D_NY18,month,2025-06,34,96,-0.2719067361204638,0.0265476172969267,-0.29845435341739046,,
D_NY18,month,2025-07,41,111,-0.12177398431709589,-0.05806675824529531,-0.06370722607180059,,
D_NY18,month,2025-08,42,103,-0.019411584807460962,-0.06541400657827551,0.046002421770814546,,
D_NY18,month,2025-09,52,110,-0.19816804743983504,0.015423271244957326,-0.21359131868479236,,
D_NY18,month,2025-10,44,115,0.02639235500163617,0.16137263022939127,-0.1349802752277551,,
D_NY18,month,2025-11,34,90,0.012375801316663392,0.041799125808537,-0.02942332449187361,,
