time,time_server,time_utc,open,high,low,close,spread
1786714200,1786714200,1786714201,4384.654,4391.717,4383.537,4390.91,260
1786714500,1786714500,1786714501,4390.847,4397.008,4390.847,4395.253,260
1786714800,1786714800,1786714801,4395.307,4396.249,4390.536,4393.713,260
1786715100,1786715100,1786715101,4393.908,4394.742,4386.345,4386.597,260
1786715400,1786715400,1786715401,4386.686,4388.532,4382.828,4384.422,260
1786715700,1786715700,1786715701,4384.751,4385.83,4382.731,4384.639,260
1786716000,1786716000,1786716001,4384.635,4392.692,4384.308,4391.177,260
1786716300,1786716300,1786716301,4391.209,4391.99,4388.637,4388.637,260
1786716600,1786716600,1786716601,4388.658,4393.159,4386.894,4390.632,260
1786716900,1786716900,1786716901,4390.399,4392.329,4385.348,4386.398,260
1786717200,1786717200,1786717201,4386.071,4392.178,4385.025,4391.859,260
1786717500,1786717500,1786717501,4391.805,4394.735,4390.226,4390.506,260
1786717800,1786717800,1786717801,4390.566,4391.488,4384.202,4384.694,260
1786718100,1786718100,1786718101,4384.64,4387.214,4383.915,4385.923,260
1786718400,1786718400,1786718401,4385.987,4386.701,4381.379,4384.108,260
1786718700,1786718700,1786718701,4384.354,4384.382,4378.663,4380.594,260
1786719000,1786719000,1786719001,4380.538,4383.191,4379.501,4381.348,260
1786719300,1786719300,1786719301,4381.675,4382.951,4379.731,4381.569,260
1786719600,1786719600,1786719601,4381.351,4390.869,4380.979,4386.908,260
1786719900,1786719900,1786719901,4386.962,4389.205,4385.393,4386.358,260
1786720200,1786720200,1786720201,4386.492,4394.283,4385.847,4391.944,260
1786720500,1786720500,1786720501,4392.065,4393.93,4385.847,4386.05,260
1786720800,1786720800,1786720801,4386.225,4387.164,4382.963,4383.165,260
1786721100,1786721100,1786721101,4383.112,4385.082,4379.026,4384.953,260
1786721400,1786721400,1786721401,4385.021,4389.109,4383.725,4387.435,260
1786721700,1786721700,1786721701,4387.377,4389.93,4386.553,4387.687,260
1786722000,1786722000,1786722001,4387.456,4389.84,4386.512,4389.426,260
1786722300,1786722300,1786722301,4389.519,4394.716,4389.153,4392.176,260
1786722600,1786722600,1786722601,4392.169,4393.101,4389.836,4390.442,260
1786722900,1786722900,1786722901,4390.456,4393.142,4390.25,4391.685,260
1786723200,1786723200,1786723201,4391.737,4396.816,4390.732,4390.745,260
1786723500,1786723500,1786723501,4390.671,4392.941,4389.005,4389.795,260
1786723800,1786723800,1786723801,4390.009,4390.555,4388.618,4389.471,260
1786724100,1786724100,1786724101,4389.516,4392.093,4389.239,4391.668,260
1786724400,1786724400,1786724401,4391.884,4393.064,4389.258,4389.556,260
1786724700,1786724700,1786724701,4389.496,4389.679,4386.737,4387.586,260
1786725000,1786725000,1786725001,4387.703,4387.758,4380.06,4383.868,260
1786725300,1786725300,1786725301,4383.77,4389.038,4383.101,4388.164,260
1786725600,1786725600,1786725601,4388.044,4388.789,4385.414,4385.836,260
1786725900,1786725900,1786725901,4385.874,4387.049,4385.186,4386.827,260
1786726200,1786726200,1786726201,4386.724,4387.538,4385.284,4386.295,260
1786726500,1786726500,1786726501,4386.309,4386.746,4384.692,4385.805,260
1786726800,1786726800,1786726801,4385.745,4386.55,4382.862,4383.607,260
1786727100,1786727100,1786727101,4383.659,4384.232,4381.279,4382.364,260
1786727400,1786727400,1786727401,4382.225,4382.621,4380.385,4382.472,260
1786727700,1786727700,1786727701,4382.498,4384.92,4381.364,4381.389,260
1786728000,1786728000,1786728001,4381.348,4382.714,4379.749,4381.667,260
1786728300,1786728300,1786728301,4381.614,4382.52,4379.111,4379.554,260
1786728600,1786728600,1786728601,4379.489,4382.837,4379.434,4382.575,260
1786728900,1786728900,1786728901,4382.646,4382.646,4379.277,4379.553,260
1786729200,1786729200,1786729201,4379.484,4380.709,4376.85,4377.858,260
1786729500,1786729500,1786729501,4377.563,4378.021,4376.227,4377.015,260
1786729800,1786729800,1786729801,4377.009,4379.186,4376.32,4377.932,260
1786730100,1786730100,1786730101,4377.93,4378.594,4376.984,4378.594,240
1786730400,1786730400,1786730401,4378.655,4381.646,4376.444,4381.185,260
1786730700,1786730700,1786730701,4381.064,4381.805,4379.121,4379.989,260
1786731000,1786731000,1786731001,4379.972,4380.792,4376.78,4377.146,260
1786731300,1786731300,1786731301,4377.25,4379.147,4376.885,4378.567,260
1786731600,1786731600,1786731601,4378.559,4380.382,4378.077,4379.396,260
1786731900,1786731900,1786731901,4379.275,4380.408,4377.763,4379.169,260
1786732200,1786732200,1786732201,4379.234,4379.778,4377.253,4378.186,260
1786732500,1786732500,1786732501,4378.239,4382.748,4378.004,4382.589,260
1786732800,1786732800,1786732801,4382.532,4382.822,4376.136,4376.557,260
1786733100,1786733100,1786733101,4376.265,4377.08,4370.918,4373.896,260
1786733400,1786733400,1786733401,4374.18,4375.798,4372.735,4373.41,260
1786733700,1786733700,1786733701,4373.201,4374.358,4372.844,4373.431,260
1786734000,1786734000,1786734001,4373.489,4373.894,4372.428,4372.834,260
1786734300,1786734300,1786734301,4372.572,4376.693,4372.063,4376.134,260
1786734600,1786734600,1786734601,4376.384,4377.229,4375.511,4375.726,260
1786734900,1786734900,1786734901,4375.707,4376.582,4374.441,4375.186,260
1786735200,1786735200,1786735201,4374.932,4377.01,4374.932,4376.167,260
1786735500,1786735500,1786735501,4376.231,4377.902,4376.067,4377.097,260
1786735800,1786735800,1786735801,4376.983,4378.037,4376.589,4377.317,260
1786736100,1786736100,1786736101,4377.295,4378.22,4375.845,4376.441,260
1786736400,1786736400,1786736401,4376.312,4377.52,4375.451,4375.451,260
1786736700,1786736700,1786736701,4375.68,4376.044,4374.96,4375.83,260
1786737000,1786737000,1786737001,4375.887,4379.991,4375.693,4378.042,260
1786737300,1786737300,1786737301,4378.192,4378.192,4373.514,4375.986,260
1786737600,1786737600,1786737601,4376.084,4376.084,4373.451,4374.099,260
1786737900,1786737900,1786737901,4374.063,4374.491,4371.725,4372.092,260
